month_end,trade_date,sleeve,book,ticker,side,prev_weight,target_weight,delta_weight,px_ref_open,sector
2025-09-30,2025-10-01,momentum:+0.017778,D10,ALPA4,L,0.0,0.0177777777777777,0.0177777777777777,9.42,Textile
2025-09-30,2025-10-01,momentum:+0.037037,D10,AMBP3,L,0.0,0.037037037037037,0.037037037037037,8.72,Other
2025-09-30,2025-10-01,momentum:+0.017778,D10,ANIM3,L,0.0,0.0177777777777777,0.0177777777777777,3.47,Other
2025-09-30,2025-10-01,momentum:+0.054815;value:+0.016667,D10,AURA33,L,0.0,0.0357407407407407,0.0357407407407407,64.13,Mining
2025-09-30,2025-10-01,momentum:+0.000000,D10,BBSE3,,0.0,0.0,0.0,33.33,Financial Services
2025-09-30,2025-10-01,momentum:+0.018519;value:+0.045152,D10,BLAU3,L,0.0,0.0318350168350168,0.0318350168350168,13.82,Chemical
2025-09-30,2025-10-01,value:+0.028485,D10,BRFS3,L,0.0,0.0284848484848484,0.0284848484848484,,Food & Beverage
2025-09-30,2025-10-01,momentum:+0.018519,D10,CASH3,L,0.0,0.0185185185185185,0.0185185185185185,4.12,Software & Data
2025-09-30,2025-10-01,value:+0.015152,D10,CBAV3,L,0.0,0.0151515151515151,0.0151515151515151,3.58,Mining
2025-09-30,2025-10-01,momentum:+0.054815;value:+0.045152,D10,CEAB3,L,0.0,0.04998316498316495,0.04998316498316495,16.5,Trade
2025-09-30,2025-10-01,value:+0.045152,D10,CMIG4,L,0.0,0.0451515151515151,0.0451515151515151,11.18,Electric Power
2025-09-30,2025-10-01,value:+0.028485,D10,CMIN3,L,0.0,0.0284848484848484,0.0284848484848484,5.55,Mining
2025-09-30,2025-10-01,momentum:+0.054815,D10,COGN3,L,0.0,0.0548148148148148,0.0548148148148148,3.37,Other
2025-09-30,2025-10-01,momentum:+0.018519,D10,CPFE3,L,0.0,0.0185185185185185,0.0185185185185185,39.44,Electric Power
2025-09-30,2025-10-01,momentum:+0.036296,D10,CPLE6,L,0.0,0.0362962962962963,0.0362962962962963,12.95,Electric Power
2025-09-30,2025-10-01,value:+0.016667,D10,CVCB3,L,0.0,0.0166666666666666,0.0166666666666666,1.97,Transportation Services
2025-09-30,2025-10-01,momentum:+0.000000,D10,DIRR3,,0.0,0.0,0.0,16.15,Construction
2025-09-30,2025-10-01,value:+0.028485,D10,ELET3,L,0.0,0.0284848484848484,0.0284848484848484,52.82,Electric Power
2025-09-30,2025-10-01,momentum:+0.054815,D10,EMBR3,L,0.0,0.0548148148148148,0.0548148148148148,80.68,Vehicle & Parts
2025-09-30,2025-10-01,momentum:+0.054815,D10,FESA4,L,0.0,0.0548148148148148,0.0548148148148148,6.44,Basic & Fabricated Metal
2025-09-30,2025-10-01,momentum:+0.018519,D10,FRAS3,L,0.0,0.0185185185185185,0.0185185185185185,22.56,Vehicle & Parts
2025-09-30,2025-10-01,value:+0.045152,D10,GGBR4,L,0.0,0.0451515151515151,0.0451515151515151,16.79,Basic & Fabricated Metal
2025-09-30,2025-10-01,momentum:+0.018519,D10,GOLL54,L,0.0,0.0185185185185185,0.0185185185185185,0.00573,Transportation Services
2025-09-30,2025-10-01,value:+0.045152,D10,GUAR3,L,0.0,0.0451515151515151,0.0451515151515151,9.54,Textile
2025-09-30,2025-10-01,momentum:+0.018519,D10,IRBR3,L,0.0,0.0185185185185185,0.0185185185185185,49.02,Financial Services
2025-09-30,2025-10-01,value:+0.030000,D10,JALL3,L,0.0,0.0299999999999999,0.0299999999999999,2.75,Other
2025-09-30,2025-10-01,value:+0.045152,D10,JHSF3,L,0.0,0.0451515151515151,0.0451515151515151,6.43,Construction
2025-09-30,2025-10-01,value:+0.013333,D10,KEPL3,L,0.0,0.0133333333333333,0.0133333333333333,7.35,Basic & Fabricated Metal
2025-09-30,2025-10-01,momentum:+0.018519;value:+0.045152,D10,LIGT3,L,0.0,0.0318350168350168,0.0318350168350168,5.83,Electric Power
2025-09-30,2025-10-01,value:+0.045152,D10,LJQQ3,L,0.0,0.0451515151515151,0.0451515151515151,2.28,Trade
2025-09-30,2025-10-01,momentum:+0.050370,D10,MBRF3,L,0.0,0.0503703703703703,0.0503703703703703,19.46,Food & Beverage
2025-09-30,2025-10-01,value:+0.028485,D10,MGLU3,L,0.0,0.0284848484848484,0.0284848484848484,9.66,Trade
2025-09-30,2025-10-01,value:+0.045152,D10,MYPK3,L,0.0,0.0451515151515151,0.0451515151515151,12.0,Vehicle & Parts
2025-09-30,2025-10-01,momentum:+0.054815,D10,NEOE3,L,0.0,0.0548148148148148,0.0548148148148148,28.89,Electric Power
2025-09-30,2025-10-01,momentum:+0.018519,D10,PETR4,L,0.0,0.0185185185185185,0.0185185185185185,31.45,Oil & Gas
2025-09-30,2025-10-01,momentum:+0.017778;value:+0.045152,D10,PGMN3,L,0.0,0.031464646464646404,0.031464646464646404,3.57,Trade
2025-09-30,2025-10-01,value:+0.013333,D10,PLPL3,L,0.0,0.0133333333333333,0.0133333333333333,16.99,Construction
2025-09-30,2025-10-01,value:+0.028485,D10,POSI3,L,0.0,0.0284848484848484,0.0284848484848484,4.43,Electric Electron
2025-09-30,2025-10-01,momentum:+0.054815,D10,PSSA3,L,0.0,0.0548148148148148,0.0548148148148148,49.81,Financial Services
2025-09-30,2025-10-01,value:+0.045152,D10,QUAL3,L,0.0,0.0451515151515151,0.0451515151515151,2.53,Other
2025-09-30,2025-10-01,value:+0.028485,D10,RAIZ4,L,0.0,0.0284848484848484,0.0284848484848484,1.01,Agriculture & Fisheries
2025-09-30,2025-10-01,momentum:+0.017778;value:+0.016667,D10,RANI3,L,0.0,0.017222222222222153,0.017222222222222153,8.34,Pulp & Paper
2025-09-30,2025-10-01,value:+0.045152,D10,RECV3,L,0.0,0.0451515151515151,0.0451515151515151,12.67,Oil & Gas
2025-09-30,2025-10-01,momentum:+0.018519;value:+0.030000,D10,SEER3,L,0.0,0.0242592592592592,0.0242592592592592,11.34,Other
2025-09-30,2025-10-01,value:+0.016667,D10,SLCE3,L,0.0,0.0166666666666666,0.0166666666666666,16.45,Agriculture & Fisheries
2025-09-30,2025-10-01,momentum:+0.036296,D10,SRNA3,L,0.0,0.0362962962962963,0.0362962962962963,12.34,Electric Power
2025-09-30,2025-10-01,momentum:+0.036296;value:+0.028485,D10,SYNE3,L,0.0,0.03239057239057235,0.03239057239057235,5.18,Other
2025-09-30,2025-10-01,momentum:+0.018519,D10,TGMA3,L,0.0,0.0185185185185185,0.0185185185185185,34.71,Transportation Services
2025-09-30,2025-10-01,value:+0.028485,D10,TIMS3,L,0.0,0.0284848484848484,0.0284848484848484,23.65,Telecommunication
2025-09-30,2025-10-01,momentum:+0.054815,D10,TTEN3,L,0.0,0.0548148148148148,0.0548148148148148,13.98,Agriculture & Fisheries
2025-09-30,2025-10-01,value:+0.016667,D10,USIM5,L,0.0,0.0166666666666666,0.0166666666666666,4.25,Basic & Fabricated Metal
2025-09-30,2025-10-01,momentum:+0.000000,D10,VBBR3,,0.0,0.0,0.0,24.71,Oil & Gas
2025-09-30,2025-10-01,momentum:+0.000000,D10,VLID3,,0.0,0.0,0.0,21.25,Other
2025-09-30,2025-10-01,momentum:+0.054815,D10,VULC3,L,0.0,0.0548148148148148,0.0548148148148148,19.62,Textile
2025-09-30,2025-10-01,momentum:+0.017778;value:+0.045152,D10,WIZC3,L,0.0,0.031464646464646404,0.031464646464646404,8.69,Financial Services
2025-09-30,2025-10-01,momentum:+0.036296,D10,YDUQ3,L,0.0,0.0362962962962963,0.0362962962962963,13.0,Other
2025-09-30,2025-10-01,momentum:+0.008104;value:-0.030426,LS,ALPA4,S,0.0,-0.011161069951474499,-0.011161069951474499,9.42,Textile
2025-09-30,2025-10-01,momentum:+0.000000;value:-0.030426,LS,AMBP3,S,0.0,-0.01521305827841545,-0.01521305827841545,8.72,Other
2025-09-30,2025-10-01,value:+0.000000,LS,AMER3,,0.0,0.0,0.0,6.28,Trade
2025-09-30,2025-10-01,momentum:+0.008104,LS,ANIM3,L,0.0,0.0081039766538819,0.0081039766538819,3.47,Other
2025-09-30,2025-10-01,momentum:-0.024330,LS,ARML3,S,0.0,-0.0243300191952482,-0.0243300191952482,3.7,Other
2025-09-30,2025-10-01,momentum:+0.027182;value:+0.009617,LS,AURA33,L,0.0,0.0183997098012521,0.0183997098012521,64.13,Mining
2025-09-30,2025-10-01,momentum:-0.024330;value:-0.030426,LS,AURE3,S,0.0,-0.027378067876039552,-0.027378067876039552,10.23,Electric Power
2025-09-30,2025-10-01,momentum:-0.024330,LS,AZUL4,S,0.0,-0.0243300191952482,-0.0243300191952482,1.24,Transportation Services
2025-09-30,2025-10-01,momentum:-0.024330,LS,AZZA3,S,0.0,-0.0243300191952482,-0.0243300191952482,30.31,Textile
2025-09-30,2025-10-01,momentum:-0.024330,LS,BBAS3,S,0.0,-0.0243300191952482,-0.0243300191952482,22.1,Financial Services
2025-09-30,2025-10-01,momentum:-0.007236,LS,BHIA3,S,0.0,-0.007235693440966,-0.007235693440966,3.92,Trade
2025-09-30,2025-10-01,value:+0.028851,LS,BLAU3,L,0.0,0.0288513822433535,0.0288513822433535,13.82,Chemical
2025-09-30,2025-10-01,momentum:-0.014833,LS,BPAN4,S,0.0,-0.0148331715539803,-0.0148331715539803,7.78,Financial Services
2025-09-30,2025-10-01,value:-0.010123,LS,BRBI11,S,0.0,-0.0101232920152117,-0.0101232920152117,18.27,Financial Services
2025-09-30,2025-10-01,value:+0.000000,LS,BRFS3,,0.0,0.0,0.0,,Food & Beverage
