month_end,trade_date,sleeve,book,ticker,side,prev_weight,target_weight,delta_weight,px_ref_open,sector
2013-07-31,2013-08-01,momentum,D10,ABCB4,L,0.0,0.0277777777777777,0.0092592592592592,4.869402513,Financial Services
2013-07-31,2013-08-01,momentum,D10,AEDU3,L,0.0,0.0,0.0,13.75350817,Other
2013-07-31,2013-08-01,momentum,D10,AMER3,L,0.0,0.0805728088336784,0.0268576029445594,905.0236152,Trade
2013-07-31,2013-08-01,momentum,D10,AMIL3,L,0.0,0.0,0.0,,Other
2013-07-31,2013-08-01,momentum,D10,BEEF3,L,0.0,0.0238095238095238,0.0079365079365079,6.188164033,Food & Beverage
2013-07-31,2013-08-01,momentum,D10,BPAN4,L,0.0,0.0217391304347826,0.0072463768115942,4.88653436,Financial Services
2013-07-31,2013-08-01,momentum,D10,COCE5,L,0.0,0.0805728088336784,0.0268576029445594,27.35193304,Electric Power
2013-07-31,2013-08-01,momentum,D10,COGN3,L,0.0,0.0567632850241545,0.0189210950080515,6.715092003,Other
2013-07-31,2013-08-01,momentum,D10,CZLT33,L,0.0,0.0,0.0,33.83113554,Food & Beverage
2013-07-31,2013-08-01,momentum,D10,DIRR3,L,0.0,0.0567632850241545,0.0189210950080515,2.090405533,Construction
2013-07-31,2013-08-01,momentum,D10,DXCO3,L,0.0,0.0515873015873015,0.0171957671957671,6.486906873,Other
2013-07-31,2013-08-01,momentum,D10,EQTL3,L,0.0,0.0805728088336784,0.0268576029445594,2.966574478,Electric Power
2013-07-31,2013-08-01,momentum,D10,GRND3,L,0.0,0.0805728088336784,0.0268576029445594,3.273015714,Textile
2013-07-31,2013-08-01,momentum,D10,HBOR3,L,0.0,0.0238095238095238,0.0079365079365079,26.44339197,Construction
2013-07-31,2013-08-01,momentum,D10,IMCH3,L,0.0,0.0,0.0,17.98301758,Trade
2013-07-31,2013-08-01,momentum,D10,LEVE3,L,0.0,0.0,0.0,8.747419687,Vehicle & Parts
2013-07-31,2013-08-01,momentum,D10,PFRM3,L,0.0,0.0805728088336784,0.0268576029445594,14.29918191,Trade
2013-07-31,2013-08-01,momentum,D10,PMAM3,L,0.0,0.0733264320220842,0.0244421440073614,66.30502458,Basic & Fabricated Metal
2013-07-31,2013-08-01,momentum,D10,PSSA3,L,0.0,0.0527950310559006,0.0175983436853002,6.566391181,Financial Services
2013-07-31,2013-08-01,momentum,D10,SIMH3,L,0.0,0.0805728088336784,0.0268576029445594,2.781397272,Transportation Services
2013-07-31,2013-08-01,momentum,D10,TAEE11,L,0.0,0.0238095238095238,0.0079365079365079,6.119813661,Electric Power
2013-07-31,2013-08-01,momentum,D10,TECN3,L,0.0,0.0238095238095238,0.0079365079365079,12.17643412,Other
2013-07-31,2013-08-01,momentum,D10,YDUQ3,L,0.0,0.0805728088336784,0.0268576029445594,12.31530309,Other
