month_end,trade_date,book,ticker,parent_qty,cohort_id,cohort_desired_qty,alloc_ratio
2011-03-31,2011-04-01,D10,ABEV3,-1700,2,-5100,1.0
2011-03-31,2011-04-01,D10,CNFB4,-1800,2,-5450,1.0
2011-03-31,2011-04-01,D10,CTIP3,1150,2,3450,1.0
2011-03-31,2011-04-01,D10,EGIE3,-800,2,-2450,1.0
2011-03-31,2011-04-01,D10,EZTC3,-1350,2,-4100,1.0
2011-03-31,2011-04-01,D10,GETI3,-550,2,-1700,1.0
2011-03-31,2011-04-01,D10,LPSB3,-450,2,-1450,1.0
2011-03-31,2011-04-01,D10,MPLU3,1650,2,5050,1.0
2011-03-31,2011-04-01,D10,ODPV3,-1750,2,-5250,1.0
2011-03-31,2011-04-01,D10,POMO4,-20500,2,-61500,1.0
2011-03-31,2011-04-01,D10,RPMG3,-700,2,-2100,1.0
2011-03-31,2011-04-01,D10,TGMA3,1900,2,5700,1.0
2011-03-31,2011-04-01,D10,TOTS3,-900,2,-2750,1.0
2011-03-31,2011-04-01,D10,VALE3,1200,2,3650,1.0
2011-03-31,2011-04-01,LS,ABEV3,-850,2,-2550,1.0
2011-03-31,2011-04-01,LS,BPAN4,600,0,-1950,0.0
2011-03-31,2011-04-01,LS,BPAN4,600,1,-700,0.0
2011-03-31,2011-04-01,LS,BPAN4,600,2,4600,1.0
2011-03-31,2011-04-01,LS,CNFB4,-900,2,-2700,1.0
2011-03-31,2011-04-01,LS,CTIP3,550,2,1700,1.0
2011-03-31,2011-04-01,LS,EGIE3,-400,2,-1200,1.0
2011-03-31,2011-04-01,LS,ELET3,150,0,-600,0.0
2011-03-31,2011-04-01,LS,ELET3,150,1,-200,0.0
2011-03-31,2011-04-01,LS,ELET3,150,2,1400,1.0
2011-03-31,2011-04-01,LS,EZTC3,-650,2,-2050,1.0
2011-03-31,2011-04-01,LS,GETI3,-250,2,-850,1.0
2011-03-31,2011-04-01,LS,GOLL54,-49050,2,-147250,1.0
2011-03-31,2011-04-01,LS,LAND3,50,0,-150,0.0
2011-03-31,2011-04-01,LS,LAND3,50,1,-50,0.0
2011-03-31,2011-04-01,LS,LAND3,50,2,350,1.0
2011-03-31,2011-04-01,LS,LPSB3,-200,2,-700,1.0
2011-03-31,2011-04-01,LS,MAGG3,50,0,-200,0.0
2011-03-31,2011-04-01,LS,MAGG3,50,1,-50,0.0
2011-03-31,2011-04-01,LS,MAGG3,50,2,500,1.0
2011-03-31,2011-04-01,LS,MILK33,50,0,-200,0.0
2011-03-31,2011-04-01,LS,MILK33,50,1,-50,0.0
2011-03-31,2011-04-01,LS,MILK33,50,2,500,1.0
2011-03-31,2011-04-01,LS,MPLU3,800,2,2500,1.0
2011-03-31,2011-04-01,LS,ODPV3,-850,2,-2600,1.0
2011-03-31,2011-04-01,LS,PETR4,400,0,-1350,0.0
2011-03-31,2011-04-01,LS,PETR4,400,1,-450,0.0
2011-03-31,2011-04-01,LS,PETR4,400,2,3200,1.0
2011-03-31,2011-04-01,LS,POMO4,-10250,2,-30750,1.0
2011-03-31,2011-04-01,LS,PRML3,-350,1,-50,0.047619047619047616
2011-03-31,2011-04-01,LS,PRML3,-350,2,-1000,0.9523809523809523
2011-03-31,2011-04-01,LS,RPMG3,-350,2,-1050,1.0
2011-03-31,2011-04-01,LS,TELB4,-150,2,-500,1.0
2011-03-31,2011-04-01,LS,TGMA3,950,2,2850,1.0
2011-03-31,2011-04-01,LS,TOTS3,-450,2,-1350,1.0
2011-03-31,2011-04-01,LS,UNIP6,69550,0,79800,0.38236703402012456
2011-03-31,2011-04-01,LS,UNIP6,69550,1,49100,0.23526593195975085
2011-03-31,2011-04-01,LS,UNIP6,69550,2,79800,0.38236703402012456
2011-03-31,2011-04-01,LS,VALE3,600,2,1800,1.0
