month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,delist_risk_score,delist_risk_flags,delist_risk_multiplier,vt_prev,vt_curr
2014-12-30,2015-01-02,0,D10,ALPA4,L,0.06779661016949154,0.06779661016949154,0.0,keep,Textile,9,0,4.545472254,0,,1.0,,
2014-12-30,2015-01-02,0,D10,AMER3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Trade,15,0,2071.903692,0,,1.0,,
2014-12-30,2015-01-02,0,D10,BBSE3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Financial Services,9,0,13.36732629,0,,1.0,,
2014-12-30,2015-01-02,0,D10,COGN3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Other,15,0,13.34063179,0,,1.0,,
2014-12-30,2015-01-02,0,D10,CSNA3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Basic & Fabricated Metal,9,0,3.013662274,0,,1.0,,
2014-12-30,2015-01-02,0,D10,DASA3,L,0.050847457627118654,0.050847457627118654,0.0,keep,Other,1,0,10.34786445,0,,1.0,,
2014-12-30,2015-01-02,0,D10,EMBR3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Vehicle & Parts,9,0,23.56077102,0,,1.0,,
2014-12-30,2015-01-02,0,D10,EZTC3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Construction,1,0,9.569225058,0,,1.0,,
2014-12-30,2015-01-02,0,D10,GOLL54,L,0.06779661016949154,0.06779661016949154,0.0,keep,Transportation Services,9,0,0.193747263,0,,1.0,,
2014-12-30,2015-01-02,0,D10,MRVE3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Construction,9,0,4.355652006,0,,1.0,,
2014-12-30,2015-01-02,0,D10,PSSA3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Financial Services,1,0,8.757976516,0,,1.0,,
2014-12-30,2015-01-02,0,D10,SMLS3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Other,9,0,26.41916711,0,,1.0,,
2014-12-30,2015-01-02,0,D10,TIMS3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Telecommunication,39,0,7.561504048,0,,1.0,,
2014-12-30,2015-01-02,0,D10,VALE3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Mining,45,0,10.71421093,0,,1.0,,
2014-12-30,2015-01-02,0,D10,YDUQ3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Other,15,0,16.82783613,0,,1.0,,
2014-12-30,2015-01-02,1,D10,AMER3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Trade,20,0,2071.903692,0,,1.0,,
2014-12-30,2015-01-02,1,D10,BBSE3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Financial Services,5,0,13.36732629,0,,1.0,,
2014-12-30,2015-01-02,1,D10,BISA3,L,0.054545454545454564,0.054545454545454564,0.0,keep,Construction,2,0,1.58,0,,1.0,,
2014-12-30,2015-01-02,1,D10,COGN3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Other,10,0,13.34063179,0,,1.0,,
2014-12-30,2015-01-02,1,D10,CSNA3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Basic & Fabricated Metal,5,0,3.013662274,0,,1.0,,
2014-12-30,2015-01-02,1,D10,EMBR3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Vehicle & Parts,5,0,23.56077102,0,,1.0,,
2014-12-30,2015-01-02,1,D10,GFSA3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Construction,5,0,2198.407976,0,,1.0,,
2014-12-30,2015-01-02,1,D10,GOLL54,L,0.07272727272727275,0.07272727272727275,0.0,keep,Transportation Services,5,0,0.193747263,0,,1.0,,
2014-12-30,2015-01-02,1,D10,ISAE4,L,0.07272727272727275,0.07272727272727275,0.0,keep,Electric Power,2,0,4.566921525,0,,1.0,,
2014-12-30,2015-01-02,1,D10,MBRF3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Food & Beverage,2,0,3.763513657,0,,1.0,,
2014-12-30,2015-01-02,1,D10,PRIO3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Oil & Gas,2,0,0.45926234,0,,1.0,,
2014-12-30,2015-01-02,1,D10,SMLS3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Other,5,0,26.41916711,0,,1.0,,
2014-12-30,2015-01-02,1,D10,VSTE3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Textile,2,0,386.2604449,0,,1.0,,
2014-12-30,2015-01-02,1,D10,YDUQ3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Other,23,0,16.82783613,0,,1.0,,
2014-12-30,2015-01-02,2,D10,AEDU3,L,0.07272727272727275,0.0,-0.07272727272727275,exit,Other,0,1,,0,,1.0,,
2014-12-30,2015-01-02,2,D10,ALPA4,L,0.07272727272727275,0.0,-0.07272727272727275,exit,Textile,9,0,4.545472254,0,,1.0,,
2014-12-30,2015-01-02,2,D10,AMER3,L,0.07272727272727275,0.08333333333333333,0.010606060606060577,reweight,Trade,22,0,2071.903692,0,,1.0,,
2014-12-30,2015-01-02,2,D10,BBSE3,L,0.0,0.08333333333333333,0.08333333333333333,add,Financial Services,1,0,13.36732629,0,,1.0,,
2014-12-30,2015-01-02,2,D10,CIEL3,L,0.0,0.08333333333333333,0.08333333333333333,add,Software & Data,1,0,15.14985343,0,,1.0,,
2014-12-30,2015-01-02,2,D10,COGN3,L,0.07272727272727275,0.08333333333333333,0.010606060606060577,reweight,Other,10,0,13.34063179,0,,1.0,,
2014-12-30,2015-01-02,2,D10,CSNA3,L,0.07272727272727275,0.0,-0.07272727272727275,exit,Basic & Fabricated Metal,9,0,3.013662274,0,,1.0,,
2014-12-30,2015-01-02,2,D10,DAGB33,L,0.07272727272727275,0.0,-0.07272727272727275,exit,Trade,0,0,375.486384,0,,1.0,,
2014-12-30,2015-01-02,2,D10,DASA3,L,0.054545454545454564,0.0,-0.054545454545454564,exit,Other,0,0,10.34786445,0,,1.0,,
2014-12-30,2015-01-02,2,D10,EMBR3,L,0.07272727272727275,0.08333333333333333,0.010606060606060577,reweight,Vehicle & Parts,10,0,23.56077102,0,,1.0,,
2014-12-30,2015-01-02,2,D10,EQTL3,L,0.07272727272727275,0.0,-0.07272727272727275,exit,Electric Power,0,0,4.486847039,0,,1.0,,
2014-12-30,2015-01-02,2,D10,EZTC3,L,0.07272727272727275,0.0,-0.07272727272727275,exit,Construction,9,0,9.569225058,0,,1.0,,
2014-12-30,2015-01-02,2,D10,GOLL54,L,0.0,0.08333333333333333,0.08333333333333333,add,Transportation Services,1,0,0.193747263,0,,1.0,,
2014-12-30,2015-01-02,2,D10,ISAE4,L,0.0,0.08333333333333333,0.08333333333333333,add,Electric Power,1,0,4.566921525,0,,1.0,,
2014-12-30,2015-01-02,2,D10,MBRF3,L,0.0,0.08333333333333333,0.08333333333333333,add,Food & Beverage,1,0,3.763513657,0,,1.0,,
2014-12-30,2015-01-02,2,D10,MRVE3,L,0.07272727272727275,0.08333333333333333,0.010606060606060577,reweight,Construction,10,0,4.355652006,0,,1.0,,
2014-12-30,2015-01-02,2,D10,PRIO3,L,0.0,0.08333333333333333,0.08333333333333333,add,Oil & Gas,1,0,0.45926234,0,,1.0,,
