month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,delist_risk_score,delist_risk_flags,delist_risk_multiplier,vt_prev,vt_curr
2012-10-31,2012-11-01,0,D10,ALOS3,L,0.03252032520325205,0.033613445378151266,0.0010931201748992161,reweight,Other,7,0,24.72318674,0,,1.0,,
2012-10-31,2012-11-01,0,D10,ALPA4,L,0.03252032520325205,0.0,-0.03252032520325205,exit,Textile,3,0,7.656753561,0,,1.0,,
2012-10-31,2012-11-01,0,D10,AMER3,L,0.03252032520325205,0.033613445378151266,0.0010931201748992161,reweight,Trade,29,0,826.5826122,0,,1.0,,
2012-10-31,2012-11-01,0,D10,ARTR3,L,0.03252032520325205,0.033613445378151266,0.0010931201748992161,reweight,Transportation Services,13,0,17.42780448,0,,1.0,,
2012-10-31,2012-11-01,0,D10,BEEF3,L,0.03252032520325205,0.033613445378151266,0.0010931201748992161,reweight,Food & Beverage,4,0,7.625680014,0,,1.0,,
2012-10-31,2012-11-01,0,D10,BISA3,L,0.03252032520325205,0.0,-0.03252032520325205,exit,Construction,0,1,3.57,0,,1.0,,
2012-10-31,2012-11-01,0,D10,BRAP4,L,0.03252032520325205,0.033613445378151266,0.0010931201748992161,reweight,Other,19,0,4.174751114,0,,1.0,,
2012-10-31,2012-11-01,0,D10,BRML3,L,0.03252032520325205,0.033613445378151266,0.0010931201748992161,reweight,Other,7,1,15.23104397,0,,1.0,,
2012-10-31,2012-11-01,0,D10,BRPR3,L,0.03252032520325205,0.033613445378151266,0.0010931201748992161,reweight,Other,4,1,123.9276149,0,,1.0,,
2012-10-31,2012-11-01,0,D10,CIEL3,L,0.0,0.033613445378151266,0.033613445378151266,add,Software & Data,1,0,7.078642877,0,,1.0,,
2012-10-31,2012-11-01,0,D10,COCE5,L,0.0,0.025210084033613453,0.025210084033613453,add,Electric Power,1,0,23.38357395,1,liquidity_slump,0.75,,
2012-10-31,2012-11-01,0,D10,CPLE6,L,0.03252032520325205,0.033613445378151266,0.0010931201748992161,reweight,Electric Power,4,0,1.215361355,0,,1.0,,
2012-10-31,2012-11-01,0,D10,CSAN3,L,0.03252032520325205,0.0,-0.03252032520325205,exit,Oil & Gas,12,0,6.22498292,0,,1.0,,
2012-10-31,2012-11-01,0,D10,CSMG3,L,0.03252032520325205,0.033613445378151266,0.0010931201748992161,reweight,Other,29,0,6.707120599,0,,1.0,,
2012-10-31,2012-11-01,0,D10,CSNA3,L,0.03252032520325205,0.0,-0.03252032520325205,exit,Basic & Fabricated Metal,0,0,5.137575659,0,,1.0,,
2012-10-31,2012-11-01,0,D10,CTIP3,L,0.03252032520325205,0.033613445378151266,0.0010931201748992161,reweight,Financial Services,4,0,19.39414109,0,,1.0,,
2012-10-31,2012-11-01,0,D10,DASA3,L,0.03252032520325205,0.0,-0.03252032520325205,exit,Other,3,0,12.56255331,0,,1.0,,
2012-10-31,2012-11-01,0,D10,DXCO3,L,0.03252032520325205,0.033613445378151266,0.0010931201748992161,reweight,Other,22,0,6.201690355,0,,1.0,,
