month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,delist_risk_score,delist_risk_flags,delist_risk_multiplier,vt_prev,vt_curr
2014-04-30,2014-05-02,0,D10,AEDU3,L,0.06779661016949154,0.0,-0.06779661016949154,exit,Other,6,0,13.80614449,0,,1.0,,
2014-04-30,2014-05-02,0,D10,ALPA4,L,0.0,0.06779661016949154,0.06779661016949154,add,Textile,1,0,6.906934682,0,,1.0,,
2014-04-30,2014-05-02,0,D10,AMER3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Trade,7,0,2104.411855,0,,1.0,,
2014-04-30,2014-05-02,0,D10,APER3,L,0.050847457627118654,0.0,-0.050847457627118654,exit,Financial Services,0,0,163.4706342,0,,1.0,,
2014-04-30,2014-05-02,0,D10,BBSE3,L,0.0,0.06779661016949154,0.06779661016949154,add,Financial Services,1,0,10.82584943,0,,1.0,,
2014-04-30,2014-05-02,0,D10,BRFS3,L,0.06779661016949154,0.0,-0.06779661016949154,exit,Food & Beverage,6,0,46.65712772,0,,1.0,,
2014-04-30,2014-05-02,0,D10,COGN3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Other,7,0,9.955271218,0,,1.0,,
2014-04-30,2014-05-02,0,D10,CSNA3,L,0.0,0.06779661016949154,0.06779661016949154,add,Basic & Fabricated Metal,1,0,4.569332361,0,,1.0,,
2014-04-30,2014-05-02,0,D10,DASA3,L,0.0,0.050847457627118654,0.050847457627118654,add,Other,2,0,12.30910229,1,liquidity_slump,0.75,,
2014-04-30,2014-05-02,0,D10,EMBR3,L,0.0,0.06779661016949154,0.06779661016949154,add,Vehicle & Parts,1,0,18.37986435,0,,1.0,,
2014-04-30,2014-05-02,0,D10,EZTC3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Construction,40,0,11.52006109,0,,1.0,,
2014-04-30,2014-05-02,0,D10,GOLL54,L,0.0,0.06779661016949154,0.06779661016949154,add,Transportation Services,1,0,0.188155899,0,,1.0,,
2014-04-30,2014-05-02,0,D10,GRND3,L,0.06779661016949154,0.0,-0.06779661016949154,exit,Textile,6,0,2.26265618,0,,1.0,,
2014-04-30,2014-05-02,0,D10,LAND3,L,0.06779661016949154,0.0,-0.06779661016949154,exit,Other,6,0,23.34810781,0,,1.0,,
2014-04-30,2014-05-02,0,D10,MRVE3,L,0.0,0.06779661016949154,0.06779661016949154,add,Construction,1,0,3.868257864,0,,1.0,,
2014-04-30,2014-05-02,0,D10,PFRM3,L,0.06779661016949154,0.0,-0.06779661016949154,exit,Trade,6,0,12.41826466,0,,1.0,,
2014-04-30,2014-05-02,0,D10,PSSA3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Financial Services,7,0,9.041279881,0,,1.0,,
2014-04-30,2014-05-02,0,D10,SIMH3,L,0.06779661016949154,0.0,-0.06779661016949154,exit,Transportation Services,0,0,2.265516551,0,,1.0,,
2014-04-30,2014-05-02,0,D10,SMLS3,L,0.0,0.06779661016949154,0.06779661016949154,add,Other,1,0,18.98782236,0,,1.0,,
2014-04-30,2014-05-02,0,D10,TIMS3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Telecommunication,31,0,7.729135874,0,,1.0,,
2014-04-30,2014-05-02,0,D10,USIM5,L,0.06779661016949154,0.0,-0.06779661016949154,exit,Basic & Fabricated Metal,6,0,6.695873388,0,,1.0,,
2014-04-30,2014-05-02,0,D10,VALE3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Mining,37,0,14.09062904,0,,1.0,,
2014-04-30,2014-05-02,0,D10,YDUQ3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Other,7,0,16.82783613,0,,1.0,,
2014-04-30,2014-05-02,1,D10,AMER3,L,0.07142857142857145,0.07142857142857145,0.0,keep,Trade,12,0,2104.411855,0,,1.0,,
2014-04-30,2014-05-02,1,D10,BEEF3,L,0.07142857142857145,0.07142857142857145,0.0,keep,Food & Beverage,1,0,6.872695453,0,,1.0,,
2014-04-30,2014-05-02,1,D10,COCE5,L,0.07142857142857145,0.07142857142857145,0.0,keep,Electric Power,1,0,24.12635233,0,,1.0,,
2014-04-30,2014-05-02,1,D10,DXCO3,L,0.07142857142857145,0.07142857142857145,0.0,keep,Other,12,0,5.322713811,0,,1.0,,
2014-04-30,2014-05-02,1,D10,EQTL3,L,0.07142857142857145,0.07142857142857145,0.0,keep,Electric Power,15,0,3.259950944,0,,1.0,,
2014-04-30,2014-05-02,1,D10,GRND3,L,0.07142857142857145,0.07142857142857145,0.0,keep,Textile,1,0,2.26265618,0,,1.0,,
2014-04-30,2014-05-02,1,D10,HBOR3,L,0.07142857142857145,0.07142857142857145,0.0,keep,Construction,1,0,25.56473203,0,,1.0,,
2014-04-30,2014-05-02,1,D10,PFRM3,L,0.07142857142857145,0.07142857142857145,0.0,keep,Trade,1,0,12.41826466,0,,1.0,,
2014-04-30,2014-05-02,1,D10,PMAM3,L,0.07142857142857145,0.07142857142857145,0.0,keep,Basic & Fabricated Metal,1,0,51.05766661,0,,1.0,,
2014-04-30,2014-05-02,1,D10,PSSA3,L,0.07142857142857145,0.07142857142857145,0.0,keep,Financial Services,12,0,9.041279881,0,,1.0,,
2014-04-30,2014-05-02,1,D10,SIMH3,L,0.07142857142857145,0.07142857142857145,0.0,keep,Transportation Services,1,0,2.265516551,0,,1.0,,
2014-04-30,2014-05-02,1,D10,TAEE11,L,0.07142857142857145,0.07142857142857145,0.0,keep,Electric Power,1,0,5.710852945,0,,1.0,,
2014-04-30,2014-05-02,1,D10,TECN3,L,0.07142857142857145,0.07142857142857145,0.0,keep,Other,1,0,10.12277944,0,,1.0,,
2014-04-30,2014-05-02,1,D10,YDUQ3,L,0.07142857142857145,0.07142857142857145,0.0,keep,Other,15,0,16.82783613,0,,1.0,,
2014-04-30,2014-05-02,2,D10,AEDU3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Other,14,1,13.80614449,0,,1.0,,
2014-04-30,2014-05-02,2,D10,ALPA4,L,0.07272727272727275,0.07272727272727275,0.0,keep,Textile,2,0,6.906934682,0,,1.0,,
2014-04-30,2014-05-02,2,D10,AMER3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Trade,14,0,2104.411855,0,,1.0,,
2014-04-30,2014-05-02,2,D10,COGN3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Other,2,0,9.955271218,0,,1.0,,
2014-04-30,2014-05-02,2,D10,CSNA3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Basic & Fabricated Metal,2,0,4.569332361,0,,1.0,,
2014-04-30,2014-05-02,2,D10,DAGB33,L,0.07272727272727275,0.07272727272727275,0.0,keep,Trade,2,0,348.3380514,0,,1.0,,
2014-04-30,2014-05-02,2,D10,DASA3,L,0.054545454545454564,0.054545454545454564,0.0,keep,Other,2,0,12.30910229,1,liquidity_slump,0.75,,
2014-04-30,2014-05-02,2,D10,EMBR3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Vehicle & Parts,2,0,18.37986435,0,,1.0,,
2014-04-30,2014-05-02,2,D10,EQTL3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Electric Power,17,0,3.259950944,0,,1.0,,
2014-04-30,2014-05-02,2,D10,EZTC3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Construction,2,0,11.52006109,0,,1.0,,
2014-04-30,2014-05-02,2,D10,MRVE3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Construction,2,0,3.868257864,0,,1.0,,
2014-04-30,2014-05-02,2,D10,PSSA3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Financial Services,2,0,9.041279881,0,,1.0,,
2014-04-30,2014-05-02,2,D10,VALE3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Mining,35,0,14.09062904,0,,1.0,,
2014-04-30,2014-05-02,2,D10,YDUQ3,L,0.07272727272727275,0.07272727272727275,0.0,keep,Other,17,0,16.82783613,0,,1.0,,
2014-04-30,2014-05-02,0,LS,AEDU3,L,0.034130542500866466,0.0,-0.034130542500866466,exit,Other,6,0,13.80614449,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,ALPA4,L,0.0,0.031079716531807983,0.031079716531807983,add,Textile,1,0,6.906934682,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,AMER3,L,0.034130542500866466,0.031079716531807983,-0.003050825969058483,reweight,Trade,7,0,2104.411855,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,BBSE3,L,0.0,0.031079716531807983,0.031079716531807983,add,Financial Services,1,0,10.82584943,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,BRFS3,L,0.034130542500866466,0.0,-0.034130542500866466,exit,Food & Beverage,6,0,46.65712772,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,COGN3,L,0.034130542500866466,0.031079716531807983,-0.003050825969058483,reweight,Other,7,0,9.955271218,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,CSNA3,L,-0.039106825504470054,0.031079716531807983,0.07018654203627804,reweight,Basic & Fabricated Metal,1,0,4.569332361,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,DASA3,L,0.015808147166259275,0.023309787398855985,0.00750164023259671,reweight,Other,2,0,12.30910229,1,liquidity_slump,0.75,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,EMBR3,L,0.0,0.031079716531807983,0.031079716531807983,add,Vehicle & Parts,1,0,18.37986435,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,EZTC3,L,0.034130542500866466,0.031079716531807983,-0.003050825969058483,reweight,Construction,40,0,11.52006109,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,GOLL54,L,0.0,0.031079716531807983,0.031079716531807983,add,Transportation Services,1,0,0.188155899,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,GRND3,L,0.034130542500866466,0.0,-0.034130542500866466,exit,Textile,6,0,2.26265618,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,LAND3,L,0.034130542500866466,0.0,-0.034130542500866466,exit,Other,6,0,23.34810781,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,MRVE3,L,0.0,0.031079716531807983,0.031079716531807983,add,Construction,1,0,3.868257864,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,PFRM3,L,0.034130542500866466,0.0,-0.034130542500866466,exit,Trade,6,0,12.41826466,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,PSSA3,L,0.034130542500866466,0.031079716531807983,-0.003050825969058483,reweight,Financial Services,7,0,9.041279881,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,SMLS3,L,0.0,0.031079716531807983,0.031079716531807983,add,Other,1,0,18.98782236,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,TIMS3,L,0.034130542500866466,0.031079716531807983,-0.003050825969058483,reweight,Telecommunication,31,0,7.729135874,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,USIM5,L,0.034130542500866466,0.0,-0.034130542500866466,exit,Basic & Fabricated Metal,6,0,6.695873388,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,VALE3,L,0.034130542500866466,0.031079716531807983,-0.003050825969058483,reweight,Mining,37,0,14.09062904,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,YDUQ3,L,0.034130542500866466,0.031079716531807983,-0.003050825969058483,reweight,Other,7,0,16.82783613,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,AMAR3,S,0.0,-0.03901496330588663,-0.03901496330588663,add,Trade,1,0,55.56335702,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,BISA3,S,-0.039106825504470054,0.0,0.039106825504470054,exit,Construction,6,0,1.43,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,BPHA3,S,0.0,-0.03901496330588663,-0.03901496330588663,add,Trade,1,0,179.5,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,BRSR6,S,-0.039106825504470054,-0.03901496330588663,9.186219858342559e-05,keep,Financial Services,7,0,5.265986499,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,CSMG3,S,-0.039106825504470054,0.0,0.039106825504470054,exit,Other,6,0,5.164625069,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,ELET3,S,-0.039106825504470054,0.0,0.039106825504470054,exit,Electric Power,39,0,5.693211503,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,ENEV3,S,-0.039106825504470054,-0.03901496330588663,9.186219858342559e-05,keep,Electric Power,7,0,17.64585191,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,LPSB3,S,0.0,-0.03901496330588663,-0.03901496330588663,add,Other,1,0,9.576105152,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,MBRF3,S,-0.039106825504470054,-0.03901496330588663,9.186219858342559e-05,keep,Food & Beverage,7,0,2.533487242,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,MGLU3,S,-0.039106825504470054,0.0,0.039106825504470054,exit,Trade,6,0,2.173525785,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,MPLU3,S,-0.039106825504470054,0.0,0.039106825504470054,exit,Other,6,0,19.57733957,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,OGXP3,S,-0.02933011912835254,-0.029261222479414973,6.889664893756572e-05,keep,Oil & Gas,31,1,20.0,1,liquidity_slump,0.75,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,PRML3,S,-0.039106825504470054,-0.03901496330588663,9.186219858342559e-05,keep,Other,37,0,11.44242725,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,RAPT4,S,0.0,-0.03901496330588663,-0.03901496330588663,add,Vehicle & Parts,1,0,5.019748693,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,RSID3,S,0.0,-0.03901496330588663,-0.03901496330588663,add,Construction,1,0,40.0,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,TGMA3,S,-0.039106825504470054,-0.03901496330588663,9.186219858342559e-05,keep,Transportation Services,7,0,11.34395315,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,0,LS,TOTS3,S,0.0,-0.03901496330588663,-0.03901496330588663,add,Software & Data,1,0,10.22881228,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,1,LS,AMER3,L,0.07658419994625387,0.11460645471104196,0.038022254764788085,reweight,Trade,12,0,2104.411855,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,1,LS,COGN3,L,0.07658419994625387,0.11460645471104196,0.038022254764788085,reweight,Other,2,0,9.955271218,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,1,LS,DXCO3,L,0.07658419994625387,0.0,-0.07658419994625387,exit,Other,11,0,5.322713811,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,1,LS,EQTL3,L,0.07658419994625387,0.0,-0.07658419994625387,exit,Electric Power,14,0,3.259950944,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,1,LS,PSSA3,L,0.07658419994625387,0.11460645471104196,0.038022254764788085,reweight,Financial Services,12,0,9.041279881,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,1,LS,YDUQ3,L,0.07658419994625387,0.11460645471104196,0.038022254764788085,reweight,Other,15,0,16.82783613,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,1,LS,BISA3,S,-0.047128738428463914,0.0,0.047128738428463914,exit,Construction,11,0,1.43,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,1,LS,CSNA3,S,-0.047128738428463914,-0.07640430314069463,-0.029275564712230716,reweight,Basic & Fabricated Metal,15,0,4.569332361,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,1,LS,ELET3,S,-0.047128738428463914,0.0,0.047128738428463914,exit,Electric Power,39,0,5.693211503,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,1,LS,ENEV3,S,-0.047128738428463914,-0.07640430314069463,-0.029275564712230716,reweight,Electric Power,2,0,17.64585191,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,1,LS,ISAE4,S,-0.047128738428463914,0.0,0.047128738428463914,exit,Electric Power,11,0,2.597578636,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,1,LS,MBRF3,S,-0.047128738428463914,-0.07640430314069463,-0.029275564712230716,reweight,Food & Beverage,15,0,2.533487242,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,1,LS,OGXP3,S,-0.03534655382134794,-0.07640430314069463,-0.04105774931934669,reweight,Oil & Gas,15,0,20.0,1,liquidity_slump,0.75,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,1,LS,PRML3,S,-0.047128738428463914,-0.07640430314069463,-0.029275564712230716,reweight,Other,30,0,11.44242725,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,1,LS,RSID3,S,-0.047128738428463914,-0.07640430314069463,-0.029275564712230716,reweight,Construction,15,1,40.0,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,1,LS,SANB11,S,-0.047128738428463914,0.0,0.047128738428463914,exit,Financial Services,11,0,7.321946019,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,2,LS,AEDU3,L,0.03341855997654714,0.0359549661838563,0.002536406207309161,reweight,Other,14,1,13.80614449,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,2,LS,ALPA4,L,0.03341855997654714,0.0359549661838563,0.002536406207309161,reweight,Textile,2,0,6.906934682,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,2,LS,AMER3,L,0.03341855997654714,0.0359549661838563,0.002536406207309161,reweight,Trade,14,0,2104.411855,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,2,LS,COGN3,L,0.03341855997654714,0.0359549661838563,0.002536406207309161,reweight,Other,2,0,9.955271218,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,2,LS,CSNA3,L,0.03341855997654714,0.0359549661838563,0.002536406207309161,reweight,Basic & Fabricated Metal,2,0,4.569332361,0,,1.0,0.9190103993550465,0.9168516376883357
2014-04-30,2014-05-02,2,LS,DAGB33,L,0.03341855997654714,0.0359549661838563,0.002536406207309161,reweight,Trade,2,0,348.3380514,0,,1.0,0.9190103993550465,0.9168516376883357
