month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,delist_risk_score,delist_risk_flags,delist_risk_multiplier,vt_prev,vt_curr
2021-12-30,2022-01-03,0,D10,CPLE6,L,0.07692307692307694,0.07692307692307694,0.0,keep,Electric Power,63,0,4.974046259,0,,1.0,,
2021-12-30,2022-01-03,0,D10,ECOR3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Transportation Services,39,0,6.798058463,0,,1.0,,
2021-12-30,2022-01-03,0,D10,ENAT3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Oil & Gas,39,0,12.42269802,0,,1.0,,
2021-12-30,2022-01-03,0,D10,ENBR3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Electric Power,69,0,17.74655793,0,,1.0,,
2021-12-30,2022-01-03,0,D10,ENEV3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Electric Power,39,0,14.1,0,,1.0,,
2021-12-30,2022-01-03,0,D10,FESA4,L,0.07692307692307694,0.07692307692307694,0.0,keep,Basic & Fabricated Metal,39,0,9.691531568,0,,1.0,,
2021-12-30,2022-01-03,0,D10,FIBR3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Pulp & Paper,1,0,,0,,1.0,,
2021-12-30,2022-01-03,0,D10,JBSS3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Food & Beverage,39,0,28.90090328,0,,1.0,,
2021-12-30,2022-01-03,0,D10,QUAL3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Other,39,0,16.2392402,0,,1.0,,
2021-12-30,2022-01-03,0,D10,SAPR11,L,0.07692307692307694,0.07692307692307694,0.0,keep,Other,39,0,14.79838232,0,,1.0,,
2021-12-30,2022-01-03,0,D10,SEER3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Other,39,0,10.28739878,0,,1.0,,
2021-12-30,2022-01-03,0,D10,TUPY3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Vehicle & Parts,69,1,17.54087707,0,,1.0,,
2021-12-30,2022-01-03,0,D10,VULC3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Textile,39,0,6.759602331,0,,1.0,,
