month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,delist_risk_score,delist_risk_flags,delist_risk_multiplier,vt_prev,vt_curr
2015-04-30,2015-05-04,0,D10,BRML3,L,0.10000000000000003,0.0,-0.10000000000000003,exit,Other,0,0,10.03786672,0,,1.0,,
2015-04-30,2015-05-04,0,D10,CMIG4,L,0.10000000000000003,0.10256410256410259,0.002564102564102555,reweight,Electric Power,22,0,2.961882942,0,,1.0,,
2015-04-30,2015-05-04,0,D10,CSMG3,L,0.10000000000000003,0.10256410256410259,0.002564102564102555,reweight,Other,52,0,2.727359081,0,,1.0,,
2015-04-30,2015-05-04,0,D10,DXCO3,L,0.10000000000000003,0.10256410256410259,0.002564102564102555,reweight,Other,7,0,4.848655261,0,,1.0,,
2015-04-30,2015-05-04,0,D10,ENAT3,L,0.10000000000000003,0.10256410256410259,0.002564102564102555,reweight,Oil & Gas,7,0,4.163632989,0,,1.0,,
2015-04-30,2015-05-04,0,D10,GFSA3,L,0.10000000000000003,0.0,-0.10000000000000003,exit,Construction,0,0,2807.966551,0,,1.0,,
2015-04-30,2015-05-04,0,D10,GGBR4,L,0.0,0.10256410256410259,0.10256410256410259,add,Basic & Fabricated Metal,1,0,5.076218228,0,,1.0,,
2015-04-30,2015-05-04,0,D10,GUAR3,L,0.10000000000000003,0.07692307692307694,-0.023076923076923092,reweight,Textile,7,0,8.157904839,1,liquidity_slump,0.75,,
2015-04-30,2015-05-04,0,D10,HGTX3,L,0.0,0.10256410256410259,0.10256410256410259,add,Textile,1,0,13.51796709,0,,1.0,,
2015-04-30,2015-05-04,0,D10,MGLU3,L,0.10000000000000003,0.10256410256410259,0.002564102564102555,reweight,Trade,22,0,1.473419109,0,,1.0,,
2015-04-30,2015-05-04,0,D10,PSSA3,L,0.10000000000000003,0.10256410256410259,0.002564102564102555,reweight,Financial Services,19,0,10.99277981,0,,1.0,,
2015-04-30,2015-05-04,0,D10,TOTS3,L,0.10000000000000003,0.10256410256410259,0.002564102564102555,reweight,Software & Data,7,0,10.10398336,0,,1.0,,
2015-04-30,2015-05-04,1,D10,CMIG4,L,0.08333333333333333,0.08333333333333333,0.0,keep,Electric Power,24,0,2.961882942,0,,1.0,,
2015-04-30,2015-05-04,1,D10,CSMG3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Other,54,0,2.727359081,0,,1.0,,
2015-04-30,2015-05-04,1,D10,DXCO3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Other,18,0,4.848655261,0,,1.0,,
2015-04-30,2015-05-04,1,D10,ENAT3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Oil & Gas,6,0,4.163632989,0,,1.0,,
2015-04-30,2015-05-04,1,D10,GETI3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Electric Power,6,0,13.94222039,0,,1.0,,
2015-04-30,2015-05-04,1,D10,GFSA3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Construction,6,0,2807.966551,0,,1.0,,
2015-04-30,2015-05-04,1,D10,GUAR3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Textile,6,0,8.157904839,1,liquidity_slump,0.75,,
2015-04-30,2015-05-04,1,D10,MGLU3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Trade,24,0,1.473419109,0,,1.0,,
2015-04-30,2015-05-04,1,D10,PSSA3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Financial Services,18,0,10.99277981,0,,1.0,,
2015-04-30,2015-05-04,1,D10,RAPT4,L,0.08333333333333333,0.08333333333333333,0.0,keep,Vehicle & Parts,3,0,2.928851698,0,,1.0,,
2015-04-30,2015-05-04,1,D10,SEER3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Other,3,0,11.79334864,0,,1.0,,
2015-04-30,2015-05-04,1,D10,TOTS3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Software & Data,6,0,10.10398336,0,,1.0,,
2015-04-30,2015-05-04,2,D10,CMIG4,L,0.08333333333333333,0.08333333333333333,0.0,keep,Electric Power,20,0,2.961882942,0,,1.0,,
2015-04-30,2015-05-04,2,D10,CSMG3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Other,56,0,2.727359081,0,,1.0,,
2015-04-30,2015-05-04,2,D10,DXCO3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Other,35,0,4.848655261,0,,1.0,,
2015-04-30,2015-05-04,2,D10,ENAT3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Oil & Gas,8,0,4.163632989,0,,1.0,,
2015-04-30,2015-05-04,2,D10,ENBR3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Electric Power,2,0,7.23269123,0,,1.0,,
2015-04-30,2015-05-04,2,D10,GUAR3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Textile,8,0,8.157904839,1,liquidity_slump,0.75,,
2015-04-30,2015-05-04,2,D10,HGTX3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Textile,2,0,13.51796709,0,,1.0,,
2015-04-30,2015-05-04,2,D10,JBSS3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Food & Beverage,5,1,10.04949757,0,,1.0,,
2015-04-30,2015-05-04,2,D10,MGLU3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Trade,20,0,1.473419109,0,,1.0,,
2015-04-30,2015-05-04,2,D10,PSSA3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Financial Services,20,0,10.99277981,0,,1.0,,
2015-04-30,2015-05-04,2,D10,RAPT4,L,0.08333333333333333,0.08333333333333333,0.0,keep,Vehicle & Parts,8,0,2.928851698,0,,1.0,,
2015-04-30,2015-05-04,2,D10,TOTS3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Software & Data,8,0,10.10398336,0,,1.0,,
2015-04-30,2015-05-04,0,LS,CMIG4,L,0.08117441887571536,0.06632599432038919,-0.014848424555326173,reweight,Electric Power,22,0,2.961882942,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,CSMG3,L,0.08117441887571536,0.06632599432038919,-0.014848424555326173,reweight,Other,52,0,2.727359081,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,DXCO3,L,0.08117441887571536,0.06632599432038919,-0.014848424555326173,reweight,Other,7,0,4.848655261,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,ENAT3,L,0.08117441887571536,0.06632599432038919,-0.014848424555326173,reweight,Oil & Gas,7,0,4.163632989,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,GGBR4,L,0.0,0.06632599432038919,0.06632599432038919,add,Basic & Fabricated Metal,1,0,5.076218228,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,GUAR3,L,0.08117441887571536,0.0497444957402919,-0.03142992313542346,reweight,Textile,7,0,8.157904839,1,liquidity_slump,0.75,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,HGTX3,L,0.0,0.06632599432038919,0.06632599432038919,add,Textile,1,0,13.51796709,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,MGLU3,L,0.08117441887571536,0.06632599432038919,-0.014848424555326173,reweight,Trade,22,0,1.473419109,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,PSSA3,L,0.08117441887571536,0.06632599432038919,-0.014848424555326173,reweight,Financial Services,19,0,10.99277981,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,TOTS3,L,0.08117441887571536,0.06632599432038919,-0.014848424555326173,reweight,Software & Data,7,0,10.10398336,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,ABEV3,S,0.0,-0.05878894951125408,-0.05878894951125408,add,Food & Beverage,1,0,12.79701027,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,AZZA3,S,0.0,-0.05878894951125408,-0.05878894951125408,add,Textile,1,0,18.74354758,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,BRAP4,S,0.0,-0.05878894951125408,-0.05878894951125408,add,Other,1,0,2.19833148,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,BRFS3,S,-0.08117441887571536,0.0,0.08117441887571536,exit,Food & Beverage,58,1,61.04919707,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,COGN3,S,-0.08117441887571536,0.0,0.08117441887571536,exit,Other,6,0,9.628154281,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,GFSA3,S,0.0,-0.05878894951125408,-0.05878894951125408,add,Construction,1,0,2807.966551,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,ISAE4,S,-0.08117441887571536,-0.05878894951125408,0.02238546936446128,reweight,Electric Power,4,0,4.698192941,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,MEAL3,S,0.0,-0.05878894951125408,-0.05878894951125408,add,Trade,1,0,6.637883395,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,MOTV3,S,-0.08117441887571536,0.0,0.08117441887571536,exit,Transportation Services,3,0,11.15154953,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,ODPV3,S,-0.08117441887571536,0.0,0.08117441887571536,exit,Other,3,0,6.032356044,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,PDGR3,S,-0.08117441887571536,-0.05878894951125408,0.02238546936446128,reweight,Construction,7,0,3232386.446,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,PETR4,S,0.0,-0.05878894951125408,-0.05878894951125408,add,Oil & Gas,1,0,3.526453398,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,POMO4,S,-0.08117441887571536,-0.05878894951125408,0.02238546936446128,reweight,Vehicle & Parts,22,0,1.552228359,0,,1.0,1.2987907020114458,1.2933568892475893
2015-04-30,2015-05-04,0,LS,RUMO3,S,0.0,-0.05878894951125408,-0.05878894951125408,add,Transportation Services,1,0,13.09891511,0,,1.0,1.2987907020114458,1.2933568892475893
