month_end,trade_date,book,ticker,parent_qty,cohort_id,cohort_desired_qty,alloc_ratio
2024-11-29,2024-12-02,D10,ABCB4,-540,1,-1620,1.0
2024-11-29,2024-12-02,D10,AGRO3,-20,1,-60,1.0
2024-11-29,2024-12-02,D10,AMBP3,577,1,1732,1.0
2024-11-29,2024-12-02,D10,AURA33,421,1,1263,1.0
2024-11-29,2024-12-02,D10,BMGB4,2596,1,7788,1.0
2024-11-29,2024-12-02,D10,BRFS3,-19,1,-58,1.0
2024-11-29,2024-12-02,D10,BRKM5,634,1,1903,1.0
2024-11-29,2024-12-02,D10,CEAB3,-990,1,-2971,1.0
2024-11-29,2024-12-02,D10,CLSA3,-49,1,-146,1.0
2024-11-29,2024-12-02,D10,CMIG4,-45,1,-135,1.0
2024-11-29,2024-12-02,D10,CPLE6,-1093,1,-3280,1.0
2024-11-29,2024-12-02,D10,CSMG3,-20,1,-60,1.0
2024-11-29,2024-12-02,D10,CSNA3,-899,1,-2698,1.0
2024-11-29,2024-12-02,D10,CURY3,-24,1,-73,1.0
2024-11-29,2024-12-02,D10,CXSE3,-35,1,-106,1.0
2024-11-29,2024-12-02,D10,DIRR3,-55,1,-164,1.0
2024-11-29,2024-12-02,D10,EMBR3,-8,1,-25,1.0
2024-11-29,2024-12-02,D10,GGBR4,481,1,1442,1.0
2024-11-29,2024-12-02,D10,GOAU4,851,1,2553,1.0
2024-11-29,2024-12-02,D10,GUAR3,-71,1,-212,1.0
2024-11-29,2024-12-02,D10,LOGG3,-553,1,-1658,1.0
2024-11-29,2024-12-02,D10,PETR4,-14,1,-42,1.0
2024-11-29,2024-12-02,D10,PSSA3,264,1,791,1.0
2024-11-29,2024-12-02,D10,SBFG3,-41,1,-122,1.0
2024-11-29,2024-12-02,D10,STBP3,-38,1,-114,1.0
2024-11-29,2024-12-02,D10,SYNE3,-116,1,-348,1.0
2024-11-29,2024-12-02,D10,USIM5,-1626,1,-4878,1.0
2024-11-29,2024-12-02,LS,ABCB4,-246,1,-739,1.0
2024-11-29,2024-12-02,LS,AGRO3,-18,1,-53,1.0
2024-11-29,2024-12-02,LS,AMBP3,281,0,37,0.04389086595492289
2024-11-29,2024-12-02,LS,AMBP3,281,1,753,0.8932384341637011
2024-11-29,2024-12-02,LS,AMBP3,281,2,53,0.06287069988137604
2024-11-29,2024-12-02,LS,AMER3,-485,0,-97,0.06662087912087912
2024-11-29,2024-12-02,LS,AMER3,-485,1,-1359,0.9333791208791209
2024-11-29,2024-12-02,LS,AURA33,209,0,27,0.042993630573248405
2024-11-29,2024-12-02,LS,AURA33,209,1,550,0.8757961783439491
2024-11-29,2024-12-02,LS,AURA33,209,2,51,0.08121019108280254
2024-11-29,2024-12-02,LS,AURE3,-421,0,-110,0.08702531645569621
2024-11-29,2024-12-02,LS,AURE3,-421,1,-1154,0.9129746835443038
2024-11-29,2024-12-02,LS,AZEV4,383,0,-1673,0.0
2024-11-29,2024-12-02,LS,AZEV4,383,1,3880,1.0
2024-11-29,2024-12-02,LS,AZEV4,383,2,-1058,0.0
2024-11-29,2024-12-02,LS,AZZA3,7,0,-30,0.0
2024-11-29,2024-12-02,LS,AZZA3,7,1,70,1.0
2024-11-29,2024-12-02,LS,AZZA3,7,2,-19,0.0
2024-11-29,2024-12-02,LS,B3SA3,27,0,-120,0.0
2024-11-29,2024-12-02,LS,B3SA3,27,1,277,1.0
2024-11-29,2024-12-02,LS,B3SA3,27,2,-76,0.0
2024-11-29,2024-12-02,LS,BEEF3,48,0,-209,0.0
2024-11-29,2024-12-02,LS,BEEF3,48,1,486,1.0
2024-11-29,2024-12-02,LS,BEEF3,48,2,-132,0.0
2024-11-29,2024-12-02,LS,BMGB4,1186,0,168,0.047244094488188976
2024-11-29,2024-12-02,LS,BMGB4,1186,1,3388,0.952755905511811
2024-11-29,2024-12-02,LS,BRAV3,-220,0,-55,0.08308157099697885
2024-11-29,2024-12-02,LS,BRAV3,-220,1,-572,0.8640483383685801
2024-11-29,2024-12-02,LS,BRAV3,-220,2,-35,0.052870090634441085
2024-11-29,2024-12-02,LS,BRFS3,7,0,25,0.3472222222222222
2024-11-29,2024-12-02,LS,BRFS3,7,1,-51,0.0
2024-11-29,2024-12-02,LS,BRFS3,7,2,47,0.6527777777777778
2024-11-29,2024-12-02,LS,BRKM5,315,0,41,0.04334038054968287
2024-11-29,2024-12-02,LS,BRKM5,315,1,828,0.8752642706131079
2024-11-29,2024-12-02,LS,BRKM5,315,2,77,0.08139534883720931
2024-11-29,2024-12-02,LS,CEAB3,-393,0,61,0.0
2024-11-29,2024-12-02,LS,CEAB3,-393,1,-1354,1.0
2024-11-29,2024-12-02,LS,CEAB3,-393,2,115,0.0
2024-11-29,2024-12-02,LS,CLSA3,18,0,63,0.34615384615384615
2024-11-29,2024-12-02,LS,CLSA3,18,1,-128,0.0
2024-11-29,2024-12-02,LS,CLSA3,18,2,119,0.6538461538461539
2024-11-29,2024-12-02,LS,CMIG4,17,0,58,0.34523809523809523
2024-11-29,2024-12-02,LS,CMIG4,17,1,-118,0.0
2024-11-29,2024-12-02,LS,CMIG4,17,2,110,0.6547619047619048
2024-11-29,2024-12-02,LS,COGN3,-3299,0,-862,0.08708830066680137
2024-11-29,2024-12-02,LS,COGN3,-3299,1,-9036,0.9129116993331986
2024-11-29,2024-12-02,LS,CPLE6,-456,1,-1496,1.0
2024-11-29,2024-12-02,LS,CPLE6,-456,2,127,0.0
2024-11-29,2024-12-02,LS,CSAN3,399,0,-107,0.0
2024-11-29,2024-12-02,LS,CSAN3,399,1,1371,1.0
2024-11-29,2024-12-02,LS,CSAN3,399,2,-68,0.0
2024-11-29,2024-12-02,LS,CSMG3,-1,1,-52,1.0
