month_end,trade_date,sleeve,book,ticker,side,action,w_delta,shares,est_notional,px_ref_open
2018-09-28,2018-10-01,momentum,D10,AZZA3,L,BUY,0.0009496676163342858,15,558.69810765,37.24654051
2018-09-28,2018-10-01,momentum,D10,BRAP4,L,BUY,0.0009496676163342858,76,572.965694724,7.539022299
2018-09-28,2018-10-01,momentum,D10,CMIG4,L,BUY,0.025641025641025647,8059,15385.335670901,1.909087439
2018-09-28,2018-10-01,momentum,D10,ELPL3,L,SELL,-0.01851851851851852,-414,-11099.34,26.81
2018-09-28,2018-10-01,momentum,D10,ENAT3,L,BUY,0.0009496676163342858,61,566.457382539,9.286186599
2018-09-28,2018-10-01,momentum,D10,ENGI11,L,BUY,0.025641025641025647,676,15374.6202636,22.7435211
2018-09-28,2018-10-01,momentum,D10,GOLL54,L,SELL,-0.02469135802469136,-102090,-14814.831186000001,0.1451154
2018-09-28,2018-10-01,momentum,D10,IRBR3,L,BUY,0.025641025641025647,26,15193.638717400001,584.3707199
2018-09-28,2018-10-01,momentum,D10,LCAM3,L,BUY,0.025641025641025647,1917,15387.69280599,8.02696547
2018-09-28,2018-10-01,momentum,D10,LEVE3,L,BUY,0.025641025641025647,1388,15379.253127400001,11.08015355
2018-09-28,2018-10-01,momentum,D10,LINX3,L,SELL,-0.02469135802469136,-923,-14806.84280283,16.04208321
2018-09-28,2018-10-01,momentum,D10,MBRF3,L,BUY,0.025641025641025647,4789,15385.886381629,3.212755561
2018-09-28,2018-10-01,momentum,D10,MGLU3,L,BUY,0.0009496676163342858,15,552.08512785,36.80567519
2018-09-28,2018-10-01,momentum,D10,RAIL3,L,BUY,0.025641025641025647,1084,15380.415072360001,14.18857479
2018-09-28,2018-10-01,momentum,D10,RAPT4,L,SELL,-0.02469135802469136,-3121,-14815.122186270999,4.746915151
2018-09-28,2018-10-01,momentum,D10,RENT3,L,BUY,0.0009496676163342858,30,560.6828499,18.68942833
2018-09-28,2018-10-01,momentum,D10,TEND3,L,BUY,0.0009496676163342858,47,567.6069586,12.0767438
2018-09-28,2018-10-01,momentum,D10,USIM5,L,SELL,-0.02469135802469136,-2247,-14817.970668795,6.594557485
2018-09-28,2018-10-01,momentum,D10,VULC3,L,SELL,-0.01851851851851852,-3067,-11112.229508692999,3.623159279
2018-09-28,2018-10-01,momentum,D10,YDUQ3,L,SELL,-0.02469135802469136,-719,-14805.418646189999,20.59168101
2018-09-28,2018-10-01,momentum,LS,AMAR3,S,SELL,-0.001123865745889759,-42,-675.9149909399999,16.09321407
2018-09-28,2018-10-01,momentum,LS,AZZA3,L,SELL,-0.0013943027210163276,-22,-819.4238912200001,37.24654051
2018-09-28,2018-10-01,momentum,LS,BEEF3,S,BUY,0.010748771093168965,1833,6447.991582032,3.517725904
2018-09-28,2018-10-01,momentum,LS,BRAP4,L,SELL,-0.001898675250439719,-151,-1138.392367149,7.539022299
2018-09-28,2018-10-01,momentum,LS,BRFS3,S,BUY,0.0010724486733598923,30,642.1184043000001,21.40394681
2018-09-28,2018-10-01,momentum,LS,CIEL3,S,BUY,0.0017410401456173692,117,1041.636631815,8.902877195
2018-09-28,2018-10-01,momentum,LS,CMIG4,L,BUY,0.00970063332813249,3049,5820.807601511,1.909087439
2018-09-28,2018-10-01,momentum,LS,COGN3,S,SELL,-0.000668591472257477,-37,-404.32284871999997,10.92764456
2018-09-28,2018-10-01,momentum,LS,CSNA3,S,BUY,0.0010724486733598923,120,643.71282792,5.364273566
2018-09-28,2018-10-01,momentum,LS,DXCO3,L,BUY,0.0002114104769948763,23,129.08517315900002,5.612398833
2018-09-28,2018-10-01,momentum,LS,ECOR3,S,BUY,0.0010440859469825782,98,623.726053664,6.364551568
2018-09-28,2018-10-01,momentum,LS,ELPL3,,SELL,-0.022872152029060355,-512,-13726.72,26.81
2018-09-28,2018-10-01,momentum,LS,ENAT3,L,SELL,-0.001605713198011204,-104,-965.7634062960001,9.286186599
2018-09-28,2018-10-01,momentum,LS,ENGI11,L,BUY,0.010205005857555882,269,6118.007175899999,22.7435211
2018-09-28,2018-10-01,momentum,LS,FESA4,L,BUY,0.0005043725294233912,92,301.05919662400004,3.272382572
2018-09-28,2018-10-01,momentum,LS,GBIO33,S,SELL,-0.009007730947551596,-603,-5408.910000000001,8.97
2018-09-28,2018-10-01,momentum,LS,HGTX3,S,BUY,0.0010440859469825782,38,627.6704951800001,16.51764461
2018-09-28,2018-10-01,momentum,LS,IRBR3,L,BUY,0.010416416334550758,11,6428.0779189,584.3707199
2018-09-28,2018-10-01,momentum,LS,ITSA4,L,BUY,0.0002114104769948763,26,127.59871558199998,4.907642907
2018-09-28,2018-10-01,momentum,LS,LCAM3,L,BUY,0.003150569364971738,235,1886.3368854500002,8.02696547
2018-09-28,2018-10-01,momentum,LS,LEVE3,L,BUY,0.010416416334550758,564,6249.2066022,11.08015355
2018-09-28,2018-10-01,momentum,LS,LIGT3,S,BUY,0.0010724486733598923,53,638.42768355,12.04580535
2018-09-28,2018-10-01,momentum,LS,LINX3,L,SELL,-0.011306346526143693,-423,-6785.80119783,16.04208321
2018-09-28,2018-10-01,momentum,LS,MBRF3,L,BUY,0.00970063332813249,1812,5821.513076532,3.212755561
2018-09-28,2018-10-01,momentum,LS,MGLU3,L,SELL,-0.0013943027210163276,-23,-846.5305293700001,36.80567519
2018-09-28,2018-10-01,momentum,LS,MOTV3,S,BUY,0.0010724486733598923,98,645.5768053559999,6.587518422
2018-09-28,2018-10-01,momentum,LS,MOVI3,,BUY,0.009032041855875013,1181,5421.282578566001,4.590417086
2018-09-28,2018-10-01,momentum,LS,POMO4,S,SELL,-0.00964795969343176,-2857,-5787.958753305999,2.025886858
2018-09-28,2018-10-01,momentum,LS,PRIO3,L,BUY,0.0002114104769948763,58,127.684914436,2.201464042
2018-09-28,2018-10-01,momentum,LS,QUAL3,S,SELL,-0.00964795969343176,-579,-5786.3333944920005,9.993667348
2018-09-28,2018-10-01,momentum,LS,RAIL3,L,BUY,0.010205005857555882,432,6129.464309280001,14.18857479
2018-09-28,2018-10-01,momentum,LS,RAPT4,,SELL,-0.011810719055567085,-1493,-7087.144320443,4.746915151
2018-09-28,2018-10-01,momentum,LS,RENT3,L,SELL,-0.0013943027210163276,-45,-841.02427485,18.68942833
2018-09-28,2018-10-01,momentum,LS,SEER3,S,BUY,0.0010440859469825782,45,627.1825356,13.93738968
2018-09-28,2018-10-01,momentum,LS,TEND3,L,SELL,-0.0013943027210163276,-69,-833.2953222,12.0767438
2018-09-28,2018-10-01,momentum,LS,UGPA3,S,BUY,0.0010724486733598923,42,648.8549663399999,15.44892777
2018-09-28,2018-10-01,momentum,LS,UNIP6,L,BUY,0.0005043725294233912,21,300.90891537,14.32899597
2018-09-28,2018-10-01,momentum,LS,USIM5,L,SELL,-0.011599308578572208,-1055,-6957.258146675,6.594557485
2018-09-28,2018-10-01,momentum,LS,VULC3,S,BUY,2.8362726377314147e-05,5,18.115796395,3.623159279
2018-09-28,2018-10-01,momentum,LS,WIZC3,S,BUY,0.0010724486733598923,139,642.417582414,4.621709226
