month_end,trade_date,sleeve,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional
2019-02-28,2019-03-01,momentum,D10,AMER3,L,BUY,0.020833333333333332,4656.128277,3,13968.384831
2019-02-28,2019-03-01,momentum,D10,AZZA3,L,SELL,-0.0196078431372549,48.09313128,-245,-11782.8171636
2019-02-28,2019-03-01,momentum,D10,BRAP4,L,SELL,-0.0196078431372549,5.98739284,-1965,-11765.2269306
2019-02-28,2019-03-01,momentum,D10,CMIG4,L,BUY,0.0012254901960784316,3.883841719,189,734.046084891
2019-02-28,2019-03-01,momentum,D10,CPFE3,L,SELL,-0.0196078431372549,17.96127781,-655,-11764.636965549998
2019-02-28,2019-03-01,momentum,D10,CSMG3,L,BUY,0.020833333333333332,11.01409028,1135,12500.992467799999
2019-02-28,2019-03-01,momentum,D10,EMBR3,L,SELL,-0.0196078431372549,19.19022622,-613,-11763.60867286
2019-02-28,2019-03-01,momentum,D10,ENAT3,L,SELL,-0.0196078431372549,9.321228812,-1262,-11763.390760744
2019-02-28,2019-03-01,momentum,D10,ENGI11,L,SELL,-0.0196078431372549,30.61369654,-384,-11755.659471359999
2019-02-28,2019-03-01,momentum,D10,HGTX3,L,BUY,0.020833333333333332,28.56668701,438,12512.208910379999
2019-02-28,2019-03-01,momentum,D10,IRBR3,L,BUY,0.0012254901960784316,783.9990264,1,783.9990264
2019-02-28,2019-03-01,momentum,D10,JBSS3,L,BUY,0.0012254901960784316,9.139638724,80,731.17109792
2019-02-28,2019-03-01,momentum,D10,LCAM3,L,BUY,0.0012254901960784316,11.71814344,63,738.2430367200001
2019-02-28,2019-03-01,momentum,D10,LOGN3,L,BUY,0.020833333333333332,8.93,1400,12502.0
2019-02-28,2019-03-01,momentum,D10,MGLU3,L,BUY,0.0012254901960784316,52.31335831,14,732.38701634
2019-02-28,2019-03-01,momentum,D10,PRIO3,L,BUY,0.020833333333333332,3.039118613,4113,12499.894855269
