month_end,trade_date,cohort_id,sleeve,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,delist_risk_score,delist_risk_flags,delist_risk_multiplier,vt_prev,vt_curr
2018-01-31,2018-02-01,0,momentum,D10,ANIM3,L,0.0,0.07692307692307694,0.07692307692307694,add,Other,1,0,7.716844511,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,D10,BRAP4,L,0.07692307692307694,0.0,-0.07692307692307694,exit,Other,12,0,6.098185636,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,D10,BRSR6,L,0.07692307692307694,0.0,-0.07692307692307694,exit,Financial Services,3,0,9.422360779,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,D10,ENAT3,L,0.07692307692307694,0.0,-0.07692307692307694,exit,Oil & Gas,4,0,6.167048798,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,D10,ENGI11,L,0.0,0.07692307692307694,0.07692307692307694,add,Electric Power,2,0,22.03521557,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,D10,EZTC3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Construction,4,1,14.83773774,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,D10,FESA4,L,0.07692307692307694,0.07692307692307694,0.0,keep,Basic & Fabricated Metal,4,0,3.807676474,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,D10,FLRY3,L,0.07692307692307694,0.0,-0.07692307692307694,exit,Other,6,1,20.0879616,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,D10,GOLL54,L,0.0,0.07692307692307694,0.07692307692307694,add,Transportation Services,1,0,0.235357414,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,D10,GUAR3,L,0.07692307692307694,0.0,-0.07692307692307694,exit,Textile,3,0,16.60792582,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,D10,LIGT3,L,0.07692307692307694,0.0,-0.07692307692307694,exit,Electric Power,0,0,15.49057939,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,D10,MBRF3,L,0.07692307692307694,0.0,-0.07692307692307694,exit,Food & Beverage,3,0,4.161283393,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,D10,MGLU3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Trade,16,0,25.06170794,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,D10,PRIO3,L,0.0,0.07692307692307694,0.07692307692307694,add,Oil & Gas,1,0,1.763168026,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,D10,PSSA3,L,0.0,0.07692307692307694,0.07692307692307694,add,Financial Services,1,0,14.56978182,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,D10,QUAL3,L,0.07692307692307694,0.0,-0.07692307692307694,exit,Other,3,0,21.86486522,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,D10,RENT3,L,0.0,0.07692307692307694,0.07692307692307694,add,Other,1,0,21.03347863,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,D10,SEER3,L,0.0,0.07692307692307694,0.07692307692307694,add,Other,1,0,27.18680416,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,D10,TAEE11,L,0.07692307692307694,0.0,-0.07692307692307694,exit,Electric Power,3,0,9.249488739,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,D10,TGMA3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Transportation Services,4,1,13.9310338,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,D10,VULC3,L,0.0,0.07692307692307694,0.07692307692307694,add,Textile,1,0,7.587991731,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,D10,YDUQ3,L,0.0,0.07692307692307694,0.07692307692307694,add,Other,1,0,28.59671884,0,,1.0,,
2018-01-31,2018-02-01,1,momentum,D10,ABEV3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Food & Beverage,3,0,16.18116509,0,,1.0,,
2018-01-31,2018-02-01,1,momentum,D10,BRSR6,L,0.07692307692307694,0.07692307692307694,0.0,keep,Financial Services,3,1,9.422360779,0,,1.0,,
2018-01-31,2018-02-01,1,momentum,D10,ENGI11,L,0.07692307692307694,0.07692307692307694,0.0,keep,Electric Power,3,0,22.03521557,0,,1.0,,
2018-01-31,2018-02-01,1,momentum,D10,FESA4,L,0.07692307692307694,0.07692307692307694,0.0,keep,Basic & Fabricated Metal,3,0,3.807676474,0,,1.0,,
2018-01-31,2018-02-01,1,momentum,D10,GOLL54,L,0.07692307692307694,0.07692307692307694,0.0,keep,Transportation Services,3,0,0.235357414,0,,1.0,,
2018-01-31,2018-02-01,1,momentum,D10,GUAR3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Textile,3,0,16.60792582,0,,1.0,,
2018-01-31,2018-02-01,1,momentum,D10,LIGT3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Electric Power,1,0,15.49057939,0,,1.0,,
2018-01-31,2018-02-01,1,momentum,D10,MDIA3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Food & Beverage,3,0,49.29214682,0,,1.0,,
2018-01-31,2018-02-01,1,momentum,D10,MGLU3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Trade,18,0,25.06170794,0,,1.0,,
2018-01-31,2018-02-01,1,momentum,D10,PRIO3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Oil & Gas,3,0,1.763168026,0,,1.0,,
2018-01-31,2018-02-01,1,momentum,D10,QUAL3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Other,3,0,21.86486522,0,,1.0,,
2018-01-31,2018-02-01,1,momentum,D10,TGMA3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Transportation Services,3,1,13.9310338,0,,1.0,,
2018-01-31,2018-02-01,1,momentum,D10,YDUQ3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Other,3,0,28.59671884,0,,1.0,,
2018-01-31,2018-02-01,2,momentum,D10,BRSR6,L,0.0909090909090909,0.0909090909090909,0.0,keep,Financial Services,5,0,9.422360779,0,,1.0,,
2018-01-31,2018-02-01,2,momentum,D10,ENGI11,L,0.0909090909090909,0.0909090909090909,0.0,keep,Electric Power,2,0,22.03521557,0,,1.0,,
2018-01-31,2018-02-01,2,momentum,D10,FESA4,L,0.0909090909090909,0.0909090909090909,0.0,keep,Basic & Fabricated Metal,5,0,3.807676474,0,,1.0,,
2018-01-31,2018-02-01,2,momentum,D10,GOLL54,L,0.0909090909090909,0.0909090909090909,0.0,keep,Transportation Services,2,0,0.235357414,0,,1.0,,
2018-01-31,2018-02-01,2,momentum,D10,MGLU3,L,0.0909090909090909,0.0909090909090909,0.0,keep,Trade,17,0,25.06170794,0,,1.0,,
2018-01-31,2018-02-01,2,momentum,D10,PDGR3,L,0.0909090909090909,0.0909090909090909,0.0,keep,Construction,2,0,266050.269,0,,1.0,,
2018-01-31,2018-02-01,2,momentum,D10,PRIO3,L,0.0909090909090909,0.0909090909090909,0.0,keep,Oil & Gas,2,0,1.763168026,0,,1.0,,
2018-01-31,2018-02-01,2,momentum,D10,QUAL3,L,0.0909090909090909,0.0909090909090909,0.0,keep,Other,5,0,21.86486522,0,,1.0,,
2018-01-31,2018-02-01,2,momentum,D10,SMLS3,L,0.0909090909090909,0.0909090909090909,0.0,keep,Other,2,0,56.45992566,0,,1.0,,
2018-01-31,2018-02-01,2,momentum,D10,VULC3,L,0.0909090909090909,0.0909090909090909,0.0,keep,Textile,2,0,7.587991731,0,,1.0,,
2018-01-31,2018-02-01,2,momentum,D10,YDUQ3,L,0.0909090909090909,0.0909090909090909,0.0,keep,Other,2,0,28.59671884,0,,1.0,,
2018-01-31,2018-02-01,0,momentum,LS,ANIM3,L,0.0,0.026925240336538234,0.026925240336538234,add,Other,1,0,7.716844511,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,BRAP4,L,0.027619491693013913,0.0,-0.027619491693013913,exit,Other,12,0,6.098185636,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,BRSR6,L,0.027619491693013913,0.0,-0.027619491693013913,exit,Financial Services,3,0,9.422360779,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,ENAT3,L,0.027619491693013913,0.0,-0.027619491693013913,exit,Oil & Gas,4,0,6.167048798,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,ENGI11,L,0.018536571606049608,0.026925240336538234,0.008388668730488626,reweight,Electric Power,2,0,22.03521557,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,EZTC3,L,0.027619491693013913,0.026925240336538234,-0.0006942513564756787,reweight,Construction,4,1,14.83773774,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,FESA4,L,0.027619491693013913,0.026925240336538234,-0.0006942513564756787,reweight,Basic & Fabricated Metal,4,0,3.807676474,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,FLRY3,L,0.027619491693013913,0.0,-0.027619491693013913,exit,Other,6,1,20.0879616,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,GOLL54,L,0.0,0.026925240336538234,0.026925240336538234,add,Transportation Services,1,0,0.235357414,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,GUAR3,L,0.027619491693013913,0.0,-0.027619491693013913,exit,Textile,3,0,16.60792582,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,MBRF3,L,0.027619491693013913,0.0,-0.027619491693013913,exit,Food & Beverage,3,0,4.161283393,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,MGLU3,L,0.027619491693013913,0.026925240336538234,-0.0006942513564756787,reweight,Trade,16,0,25.06170794,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,PRIO3,L,0.0,0.026925240336538234,0.026925240336538234,add,Oil & Gas,1,0,1.763168026,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,PSSA3,L,0.0,0.026925240336538234,0.026925240336538234,add,Financial Services,1,0,14.56978182,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,QUAL3,L,0.027619491693013913,0.0,-0.027619491693013913,exit,Other,3,0,21.86486522,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,RENT3,L,0.0,0.026925240336538234,0.026925240336538234,add,Other,1,0,21.03347863,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,SEER3,L,0.0,0.026925240336538234,0.026925240336538234,add,Other,1,0,27.18680416,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,TAEE11,L,0.027619491693013913,0.0,-0.027619491693013913,exit,Electric Power,3,0,9.249488739,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,TGMA3,L,0.027619491693013913,0.026925240336538234,-0.0006942513564756787,reweight,Transportation Services,4,1,13.9310338,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,VULC3,L,0.0,0.026925240336538234,0.026925240336538234,add,Textile,1,0,7.587991731,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,YDUQ3,L,0.0,0.026925240336538234,0.026925240336538234,add,Other,1,0,28.59671884,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,BBSE3,S,-0.03499704719222166,0.0,0.03499704719222166,exit,Financial Services,9,0,15.63955147,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,BRML3,S,0.0,-0.025002008883928374,-0.025002008883928374,add,Other,1,0,11.81115784,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,CIEL3,S,-0.03499704719222166,-0.025002008883928374,0.009995038308293284,reweight,Software & Data,10,1,18.29330005,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,CPLE6,S,-0.03499704719222166,-0.025002008883928374,0.009995038308293284,reweight,Electric Power,4,0,1.379147358,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,CSNA3,S,-0.03499704719222166,-0.025002008883928374,0.009995038308293284,reweight,Basic & Fabricated Metal,13,0,6.386586944,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,ELET3,S,-0.03499704719222166,0.0,0.03499704719222166,exit,Electric Power,6,0,15.81020221,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,ELPL3,S,0.0,-0.025002008883928374,-0.025002008883928374,add,Electric Power,1,0,14.18,0,,1.0,0.6999409438444334,0.7000562487499943
2018-01-31,2018-02-01,0,momentum,LS,EMBR3,S,0.0,-0.025002008883928374,-0.025002008883928374,add,Vehicle & Parts,1,0,20.06190142,0,,1.0,0.6999409438444334,0.7000562487499943
