month_end,trade_date,cohort_id,sleeve,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional,rationale
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,D10,AMBP3,L,CLOSE,-0.0555555555555555,0.36,-115741,-41666.76,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,D10,AMER3,L,OPEN,0.0555555555555555,5.51,7562,41666.62,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,AURA33,L,OPEN,0.04347826086956524,58.06,562,32629.72,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,D10,BLAU3,L,CLOSE,-0.0555555555555555,13.38,-3114,-41665.32,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,BLAU3,L,BUY,0.003478260869565243,13.38,195,2609.1000000000004,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,D10,BPAC11,L,OPEN,0.0555555555555555,49.4,843,41644.2,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,D10,CASH3,L,CLOSE,-0.0555555555555555,4.43,-9406,-41668.58,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,CEAB3,L,BUY,0.003478260869565243,16.3,160,2608.0,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,CMIG4,L,BUY,0.003478260869565243,11.4,229,2610.6,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,CMIN3,L,CLOSE,-0.039999999999999994,6.07,-4942,-29997.940000000002,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,CVCB3,L,OPEN,0.04347826086956524,1.88,17345,32608.6,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,ELET3,L,CLOSE,-0.039999999999999994,55.84,-537,-29986.08,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,D10,FESA4,L,CLOSE,-0.0555555555555555,7.9,-5274,-41664.6,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,GGBR4,L,BUY,0.003478260869565243,18.85,138,2601.3,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,GUAR3,L,BUY,0.003478260869565243,10.17,257,2613.69,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,D10,IRBR3,L,CLOSE,-0.0555555555555555,49.43,-843,-41669.49,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,JALL3,L,BUY,0.003478260869565243,2.75,949,2609.75,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,JHSF3,L,BUY,0.003478260869565243,6.6,395,2607.0,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,KEPL3,L,CLOSE,-0.039999999999999994,9.15,-3279,-30002.850000000002,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,D10,LIGT3,L,CLOSE,-0.0555555555555555,5.75,-7246,-41664.5,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,LIGT3,L,BUY,0.003478260869565243,5.75,454,2610.5,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,LJQQ3,L,BUY,0.003478260869565243,2.12,1231,2609.7200000000003,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,MGLU3,L,CLOSE,-0.039999999999999994,8.49,-3534,-30003.66,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,D10,MYPK3,L,OPEN,0.0555555555555555,10.95,3805,41664.75,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,MYPK3,L,BUY,0.003478260869565243,10.95,238,2606.1,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,D10,PETR4,L,CLOSE,-0.0555555555555555,29.88,-1394,-41652.72,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,PGMN3,L,BUY,0.003478260869565243,3.89,671,2610.19,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,D10,PINE4,L,OPEN,0.0555555555555555,9.36,4452,41670.72,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,PLPL3,L,CLOSE,-0.039999999999999994,14.57,-2059,-29999.63,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,POSI3,L,BUY,0.003478260869565243,4.1,636,2607.6,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,QUAL3,L,BUY,0.003478260869565243,2.71,963,2609.73,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,RAIZ4,L,BUY,0.003478260869565243,0.95,2746,2608.7,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,D10,RANI3,L,OPEN,0.0555555555555555,8.92,4671,41665.32,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,RANI3,L,OPEN,0.04347826086956524,8.92,3656,32611.52,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,RECV3,L,BUY,0.003478260869565243,12.44,210,2612.4,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,D10,SEER3,L,CLOSE,-0.0555555555555555,10.25,-4065,-41666.25,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,SEER3,L,BUY,0.003478260869565243,10.25,255,2613.75,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,SLCE3,L,OPEN,0.04347826086956524,16.17,2017,32614.890000000003,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,D10,SRNA3,L,OPEN,0.0555555555555555,12.55,3320,41666.0,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,D10,SYNE3,L,OPEN,0.0555555555555555,4.99,8350,41666.5,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,SYNE3,L,CLOSE,-0.039999999999999994,4.99,-6012,-29999.88,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,D10,TFCO4,L,OPEN,0.0555555555555555,18.25,2283,41664.75,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,D10,TGMA3,L,CLOSE,-0.0555555555555555,36.43,-1144,-41675.92,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,D10,TIMS3,L,BUY,0.003478260869565243,24.33,107,2603.31,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,D10,UNIP6,L,OPEN,0.0555555555555555,70.99,587,41671.13,add
