trade_date,ticker,book,side,action,shares,price,est_notional,sleeve
2025-11-03,ALPA4,D10,L,BUY,210,10.58,2221.8,momentum:+2221.80
2025-11-03,AMBP3,D10,L,BUY,5512,0.42,2315.04,momentum:+2314.83
2025-11-03,AMER3,D10,L,BUY,378,5.81,2196.18,momentum:+2193.27
2025-11-03,ANIM3,D10,L,BUY,676,3.29,2224.04,momentum:+2222.39
2025-11-03,AURA33,D10,L,BUY,182,58.46,10639.72,momentum:+6722.90;value:+3887.59
2025-11-03,BLAU3,D10,L,BUY,444,13.0,5772.0,value:+5772.00
2025-11-03,BPAC11,D10,L,BUY,44,49.5,2178.0,momentum:+2202.75
2025-11-03,CBAV3,D10,L,BUY,358,5.28,1890.24,value:+1892.88
2025-11-03,CEAB3,D10,L,BUY,752,16.61,12490.72,momentum:+6727.05;value:+5771.97
2025-11-03,CMIG4,D10,L,BUY,512,11.27,5770.24,value:+5770.24
2025-11-03,CMIN3,D10,L,BUY,312,6.06,1890.72,value:+1893.75
2025-11-03,COGN3,D10,L,BUY,1839,3.66,6730.740000000001,momentum:+6730.74
2025-11-03,CPFE3,D10,L,BUY,56,41.74,2337.44,momentum:+2316.57
2025-11-03,CPLE6,D10,L,BUY,328,13.85,4542.8,momentum:+4535.88
2025-11-03,CVCB3,D10,L,BUY,2095,1.85,3875.75,value:+3875.75
2025-11-03,ELET3,D10,L,BUY,34,55.67,1892.78,value:+1892.78
2025-11-03,EMBR3,D10,L,BUY,76,88.43,6720.68,momentum:+6720.68
2025-11-03,FESA4,D10,L,BUY,597,7.6,4537.2,momentum:+4537.20
2025-11-03,FRAS3,D10,L,BUY,101,22.97,2319.97,momentum:+2319.97
2025-11-03,GGBR4,D10,L,BUY,306,18.84,5765.04,value:+5765.04
2025-11-03,GOLL54,D10,L,BUY,442603,0.00523,2314.81369,momentum:+2314.81
2025-11-03,GUAR3,D10,L,BUY,572,10.09,5771.48,value:+5771.48
2025-11-03,JALL3,D10,L,BUY,1414,2.74,3874.36,value:+3875.73
2025-11-03,JHSF3,D10,L,BUY,869,6.64,5770.16,value:+5770.16
2025-11-03,LIGT3,D10,L,BUY,1020,5.66,5773.2,value:+5770.37
2025-11-03,LJQQ3,D10,L,BUY,2734,2.11,5768.74,value:+5769.80
2025-11-03,MBRF3,D10,L,BUY,352,17.51,6163.52,momentum:+6172.27
2025-11-03,MGLU3,D10,L,BUY,220,8.58,1887.6,value:+1891.89
2025-11-03,MYPK3,D10,L,BUY,723,11.01,7960.23,momentum:+2190.99;value:+5769.24
2025-11-03,NEOE3,D10,L,BUY,233,28.89,6731.37,momentum:+6731.37
2025-11-03,PGMN3,D10,L,BUY,2104,3.8,7995.2,momentum:+2223.00;value:+5770.30
2025-11-03,PINE4,D10,L,BUY,246,8.94,2199.24,momentum:+2194.77
2025-11-03,POSI3,D10,L,BUY,901,4.09,3685.09,value:+3685.09
2025-11-03,PSSA3,D10,L,BUY,138,48.55,6699.9,momentum:+6724.18
2025-11-03,QUAL3,D10,L,BUY,2177,2.65,5769.05,value:+5769.05
2025-11-03,RAIZ4,D10,L,BUY,4006,0.92,3685.52,value:+3685.98
2025-11-03,RANI3,D10,L,BUY,955,8.68,8289.4,momentum:+4413.78;value:+3875.62
2025-11-03,RECV3,D10,L,BUY,462,12.48,5765.76,value:+5772.00
2025-11-03,SEER3,D10,L,BUY,382,10.15,3877.3,value:+3877.30
2025-11-03,SLCE3,D10,L,BUY,244,15.9,3879.6,value:+3871.65
2025-11-03,SRNA3,D10,L,BUY,536,12.54,6721.44,momentum:+6727.71
