month_end,trade_date,sleeve,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional
2010-12-30,2011-01-03,value,D10,AMER3,L,SELL,-0.004629629629629641,2669.552748,-1,-2669.552748
2010-12-30,2011-01-03,value,D10,ARTR3,L,SELL,-0.004629629629629641,10.19138683,-341,-3475.26290903
2010-12-30,2011-01-03,value,D10,BRML3,L,SELL,-0.004629629629629641,9.728280504,-357,-3472.996139928
2010-12-30,2011-01-03,value,D10,CSMG3,L,SELL,-0.004629629629629641,3.719875621,-933,-3470.643954393
2010-12-30,2011-01-03,value,D10,ECOR3,L,SELL,-0.041666666666666664,7.773238673,-4020,-31248.41946546
2010-12-30,2011-01-03,value,D10,EMBR3,L,SELL,-0.041666666666666664,10.98247319,-2845,-31245.136225550003
2010-12-30,2011-01-03,value,D10,EQTL3,L,SELL,-0.041666666666666664,1.507583008,-20729,-31250.688172831997
2010-12-30,2011-01-03,value,D10,EVEN3,L,BUY,0.03703703703703703,4.945195414,5617,27777.162640437997
2010-12-30,2011-01-03,value,D10,LIGT3,L,BUY,0.03703703703703703,16.2609658,1708,27773.7295864
2010-12-30,2011-01-03,value,D10,NETC4,L,SELL,-0.041666666666666664,22.62012678,-1382,-31261.015209959998
2010-12-30,2011-01-03,value,D10,RAPT4,L,BUY,0.03703703703703703,6.258410333,4438,27774.825057854
2010-12-30,2011-01-03,value,D10,RPMG3,L,BUY,0.03703703703703703,12.43971385,2233,27777.88102705
2010-12-30,2011-01-03,value,D10,SMTO3,L,BUY,0.03703703703703703,6.033851807,4604,27779.853719428
2010-12-30,2011-01-03,value,LS,AMER3,L,BUY,0.02271860954656653,2669.552748,6,16017.316488
2010-12-30,2011-01-03,value,LS,ARTR3,L,BUY,0.02271860954656653,10.19138683,1672,17039.99877976
2010-12-30,2011-01-03,value,LS,BRFS3,S,BUY,0.002314814814814818,24.42121899,71,1733.90654829
2010-12-30,2011-01-03,value,LS,BRML3,L,BUY,0.02271860954656653,9.728280504,1751,17034.219162504
2010-12-30,2011-01-03,value,LS,BRPR3,S,SELL,-0.018518518518518514,84.26170537,-165,-13903.18138605
2010-12-30,2011-01-03,value,LS,CPFE3,S,BUY,0.002314814814814818,9.053369738,192,1738.2469896960001
2010-12-30,2011-01-03,value,LS,CSAN3,S,BUY,0.0375,4.262102478,6599,28125.614252322
2010-12-30,2011-01-03,value,LS,CSMG3,L,BUY,0.002557319223985883,3.719875621,516,1919.455820436
2010-12-30,2011-01-03,value,LS,ECOR3,,SELL,-0.02469135802469136,7.773238673,-2382,-18515.854519086
2010-12-30,2011-01-03,value,LS,EMBR3,,SELL,-0.06524435341639644,10.98247319,-4456,-48937.90053464
2010-12-30,2011-01-03,value,LS,EQTL3,,SELL,-0.04893326506229733,1.507583008,-24344,-36700.600746751996
2010-12-30,2011-01-03,value,LS,EVEN3,L,BUY,0.01851851851851852,4.945195414,2809,13891.053917926
2010-12-30,2011-01-03,value,LS,GPIV33,,SELL,-0.04055299539170507,7.34,-4144,-30416.96
2010-12-30,2011-01-03,value,LS,LIGT3,L,BUY,0.04740996757125789,16.2609658,2187,35562.732204600004
2010-12-30,2011-01-03,value,LS,LUPA3,S,BUY,0.002314814814814818,3219.644309,1,3219.644309
2010-12-30,2011-01-03,value,LS,MOTV3,S,SELL,-0.016666666666666666,6.819220301,-1833,-12499.630811732999
2010-12-30,2011-01-03,value,LS,NATU3,S,SELL,-0.016666666666666666,17.33312575,-721,-12497.18366575
2010-12-30,2011-01-03,value,LS,ODPV3,S,BUY,0.002314814814814818,4.088566724,425,1737.6408576999997
2010-12-30,2011-01-03,value,LS,POMO4,S,BUY,0.002314814814814818,1.666423477,1042,1736.413263034
2010-12-30,2011-01-03,value,LS,RAPT4,L,BUY,0.01851851851851852,6.258410333,2219,13887.412528927
2010-12-30,2011-01-03,value,LS,RPMG3,L,BUY,0.027248677248677244,12.43971385,1643,20438.44985555
2010-12-30,2011-01-03,value,LS,SMTO3,L,BUY,0.01851851851851852,6.033851807,2302,13889.926859714
2010-12-30,2011-01-03,value,LS,TERI3,,SELL,-0.02150537634408602,149.999207,-108,-16199.914356000001
2010-12-30,2011-01-03,value,LS,TOTS3,S,BUY,0.002314814814814818,8.576818608,202,1732.517358816
