month_end,trade_date,sleeve,book,ticker,side,action,w_delta,shares,est_notional,px_ref_open
2017-11-30,2017-12-01,momentum:+9617.50,D10,ABEV3,L,BUY,0.0128205128205128,652,9617.49967976,14.75076638
2017-11-30,2017-12-01,value:-1493.77,D10,AMAR3,S,SELL,-0.0019841269841269792,-52,-1493.77213024,28.72638712
2017-11-30,2017-12-01,momentum:-12498.94;value:+8929.52,D10,BRAP4,S,SELL,-0.00476190476190474,-748,-3571.807810736,4.775144132
2017-11-30,2017-12-01,momentum:+9614.46,D10,BRSR6,L,BUY,0.0128205128205128,1337,9614.462848193,7.191071689
2017-11-30,2017-12-01,value:-10412.68,D10,CGAS5,S,SELL,-0.013888888888888888,-388,-10412.68122852,26.83680729
2017-11-30,2017-12-01,value:-1484.41,D10,CIEL3,S,SELL,-0.0019841269841269792,-97,-1484.41312376,15.30322808
2017-11-30,2017-12-01,value:+8928.50,D10,CPLE6,L,BUY,0.01190476190476191,7165,8928.496479975,1.246126515
2017-11-30,2017-12-01,value:-1486.74,D10,CSMG3,S,SELL,-0.0019841269841269792,-220,-1483.37245364,6.742602062
2017-11-30,2017-12-01,value:-10417.33,D10,CSNA3,S,SELL,-0.013888888888888888,-2492,-10419.417945216,4.181146848
2017-11-30,2017-12-01,momentum:-12496.34,D10,CVCB3,S,SELL,-0.01666666666666665,-315,-12496.3397055,39.6709197
2017-11-30,2017-12-01,value:-1482.39,D10,CZLT33,S,SELL,-0.0019841269841269792,-50,-1482.390644,29.64781288
2017-11-30,2017-12-01,value:+8927.70,D10,ECOR3,L,BUY,0.01190476190476191,882,8927.702528220001,10.12211171
2017-11-30,2017-12-01,value:-10416.12,D10,ELET3,S,SELL,-0.013888888888888888,-724,-10416.11512216,14.38689934
2017-11-30,2017-12-01,momentum:-12499.79,D10,ENAT3,S,SELL,-0.01666666666666665,-2460,-12497.249619119999,5.080182772
2017-11-30,2017-12-01,momentum:+9616.49,D10,ENGI11,L,BUY,0.0128205128205128,532,9616.485960760001,18.07610143
2017-11-30,2017-12-01,momentum:+9615.55;value:+8928.26,D10,FESA4,L,BUY,0.024725274725274707,7110,18545.107584330002,2.608313303
2017-11-30,2017-12-01,momentum:-12504.31,D10,FLRY3,S,SELL,-0.01666666666666665,-713,-12504.31194433,17.53760441
2017-11-30,2017-12-01,momentum:+9615.35,D10,GOLL54,L,BUY,0.0128205128205128,53237,9615.350712219999,0.18061406
2017-11-30,2017-12-01,momentum:-12500.16,D10,GRND3,S,SELL,-0.01666666666666665,-2492,-12500.164441184,5.016117352
2017-11-30,2017-12-01,momentum:+9614.49;value:+8931.50,D10,GUAR3,L,BUY,0.024725274725274707,1236,18553.49781216,15.01092056
2017-11-30,2017-12-01,value:-1487.61,D10,ISAE4,S,SELL,-0.0019841269841269792,-194,-1483.78649794,7.64838401
2017-11-30,2017-12-01,momentum:-2885.29,D10,LIGT3,S,SELL,-0.0038461538461538,-193,-2885.28594909,14.94966813
2017-11-30,2017-12-01,momentum:+9608.70,D10,MDIA3,L,BUY,0.0128205128205128,244,9628.435363479999,39.46080067
2017-11-30,2017-12-01,momentum:-2880.54,D10,MGLU3,S,SELL,-0.0038461538461538,-171,-2880.53703009,16.84524579
2017-11-30,2017-12-01,value:-10418.10,D10,MYPK3,S,SELL,-0.013888888888888888,-684,-10425.72282372,15.24228483
