month_end,trade_date,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional
2023-12-28,2024-01-02,D10,ABEV3,L,SELL,-0.013888888888888888,12.63660371,-1050,-13268.433895499998
2023-12-28,2024-01-02,D10,BBAS3,L,BUY,0.014492753623188406,24.04365204,600,14426.191224
2023-12-28,2024-01-02,D10,BRFS3,L,BUY,0.014492753623188406,13.43584116,1050,14107.633218
2023-12-28,2024-01-02,D10,CEAB3,L,BUY,0.0006038647342995173,7.492546327,50,374.62731635
2023-12-28,2024-01-02,D10,CSMG3,L,SELL,-0.013888888888888888,17.35238587,-800,-13881.908695999999
2023-12-28,2024-01-02,D10,CSNA3,L,SELL,-0.013888888888888888,17.66074741,-750,-13245.560557499999
2023-12-28,2024-01-02,D10,CXSE3,L,BUY,0.0006038647342995173,11.27148267,50,563.5741335
2023-12-28,2024-01-02,D10,GGBR4,L,SELL,-0.013888888888888888,18.60665883,-700,-13024.661181000001
2023-12-28,2024-01-02,D10,GOAU4,L,SELL,-0.013888888888888888,10.19326448,-1350,-13760.907048
2023-12-28,2024-01-02,D10,INTB3,L,SELL,-0.013888888888888888,20.70494851,-650,-13458.2165315
2023-12-28,2024-01-02,D10,IRBR3,L,BUY,0.014492753623188406,44.34,300,13302.000000000002
2023-12-28,2024-01-02,D10,KEPL3,L,BUY,0.014492753623188406,9.355709762,1500,14033.564643
2023-12-28,2024-01-02,D10,LEVE3,L,SELL,-0.013888888888888888,30.84434592,-450,-13879.955664
2023-12-28,2024-01-02,D10,LIGT3,L,BUY,0.0006038647342995173,7.78,50,389.0
2023-12-28,2024-01-02,D10,MDIA3,L,SELL,-0.013888888888888888,37.55807017,-350,-13145.3245595
2023-12-28,2024-01-02,D10,OPCT3,L,BUY,0.0006038647342995173,6.34,50,317.0
2023-12-28,2024-01-02,D10,PETR4,L,BUY,0.014492753623188406,28.97908882,500,14489.54441
2023-12-28,2024-01-02,D10,PLPL3,L,BUY,0.0006038647342995173,9.987326126,50,499.36630629999996
2023-12-28,2024-01-02,D10,POMO4,L,BUY,0.0006038647342995173,5.190531797,100,519.0531797
2023-12-28,2024-01-02,D10,PRIO3,L,SELL,-0.013888888888888888,46.58,-250,-11645.0
2023-12-28,2024-01-02,D10,PRNR3,L,SELL,-0.013888888888888888,11.53291046,-1200,-13839.492552
2023-12-28,2024-01-02,D10,RANI3,L,BUY,0.0006038647342995173,9.411280482,50,470.56402410000004
