month_end,trade_date,sleeve,book,ticker,side,action,w_delta,shares,est_notional,px_ref_open
2021-12-30,2022-01-03,momentum:+1855.04,D10,AALR3,L,BUY,0.0024691358024691,124,1855.0400000000002,14.96
2021-12-30,2022-01-03,value:+4477.47,D10,ALLD3,L,BUY,0.005967981300002945,474,4482.203026272,9.456124528
2021-12-30,2022-01-03,value:+1754.32,D10,ALUP11,L,BUY,0.0023391812865497085,98,1754.3246618800001,17.90127206
2021-12-30,2022-01-03,momentum:+5662.45,D10,AMBP3,L,BUY,0.007548666744069,1354,5662.445019780001,4.18201257
2021-12-30,2022-01-03,momentum:+3330.31;value:+2770.18,D10,AZEV4,L,BUY,0.008135345873019083,2004,6100.490191128,3.044156782
2021-12-30,2022-01-03,momentum:+3809.20,D10,BIDI3,L,BUY,0.0050795309415999,402,3809.20102086,9.47562443
2021-12-30,2022-01-03,value:+3161.97,D10,BMOB3,L,BUY,0.004213595335090664,240,3161.971176,13.1748799
2021-12-30,2022-01-03,momentum:+5660.42,D10,BPAN4,L,BUY,0.007548666744069,587,5660.417365619,9.642959737
2021-12-30,2022-01-03,value:+4918.11,D10,BRAP4,L,BUY,0.006552776621640373,296,4926.43153784,16.64334979
2021-12-30,2022-01-03,value:+1558.95,D10,BRKM5,L,BUY,0.0020768431983385267,28,1558.95016676,55.67679167
2021-12-30,2022-01-03,momentum:+3766.79,D10,CASH3,L,BUY,0.0050234142188165,275,3766.79003525,13.69741831
2021-12-30,2022-01-03,value:+3356.76,D10,CEAB3,L,BUY,0.004475933423301846,570,3356.75620062,5.889045966
2021-12-30,2022-01-03,momentum:+3810.09,D10,CMIG4,L,BUY,0.0050795309415999,770,3807.6217949,4.94496337
2021-12-30,2022-01-03,value:+4913.88,D10,CMIN3,L,BUY,0.006552776621640373,1210,4915.916342590001,4.062740779
2021-12-30,2022-01-03,value:+4914.36,D10,CPLE6,L,BUY,0.006552776621640373,988,4914.357703891999,4.974046259
2021-12-30,2022-01-03,value:+4914.23,D10,CSMG3,L,BUY,0.006552776621640373,548,4909.752069128001,8.959401586
2021-12-30,2022-01-03,value:+3163.11,D10,CYRE3,L,BUY,0.004213595335090664,233,3163.11329482,13.57559354
2021-12-30,2022-01-03,momentum:+5662.90;value:+4912.76,D10,DEXP3,L,BUY,0.014101443365709372,1220,10580.001917180001,8.672132719
2021-12-30,2022-01-03,value:+3160.30,D10,DMMO3,L,BUY,0.004213595335090664,6078,3160.56,0.52
2021-12-30,2022-01-03,momentum:+5665.53,D10,EMBR3,L,BUY,0.007548666744069,228,5653.1349602400005,24.79445158
2021-12-30,2022-01-03,value:+4913.18,D10,ENAT3,L,BUY,0.006552776621640373,396,4919.38841592,12.42269802
2021-12-30,2022-01-03,momentum:+5659.85,D10,FESA4,L,BUY,0.007548666744069,584,5659.854435712,9.691531568
2021-12-30,2022-01-03,momentum:+5663.97,D10,FHER3,L,BUY,0.007548666744069,306,5673.24,18.54
2021-12-30,2022-01-03,momentum:+1895.64,D10,FRAS3,L,BUY,0.0025252525252525,152,1895.64464824,12.47134637
2021-12-30,2022-01-03,momentum:+3810.30,D10,INEP3,L,BUY,0.0050795309415999,488,3806.4,7.8
2021-12-30,2022-01-03,value:+4914.18,D10,JALL3,L,BUY,0.006552776621640373,526,4918.850805036,9.351427386
2021-12-30,2022-01-03,momentum:+1849.66,D10,JBSS3,L,BUY,0.0024691358024691,64,1849.65780992,28.90090328
2021-12-30,2022-01-03,value:+3312.80,D10,LAVV3,L,BUY,0.004416024484888236,897,3312.8045360670003,3.693204611
2021-12-30,2022-01-03,momentum:+1848.60,D10,LOGN3,L,BUY,0.0024691358024691,78,1848.6,23.7
2021-12-30,2022-01-03,value:+4914.73,D10,LPSB3,L,BUY,0.006552776621640373,2380,4915.76109444,2.065445838
2021-12-30,2022-01-03,momentum:+3768.63,D10,LUPA3,L,BUY,0.0050234142188165,704,3768.628951296,5.353166124
2021-12-30,2022-01-03,value:+3156.92,D10,LVTC3,L,BUY,0.004213595335090664,196,3148.8870470399997,16.06575024
2021-12-30,2022-01-03,momentum:+1895.68,D10,LWSA3,L,BUY,0.0025252525252525,146,1889.2096042599999,12.93979181
2021-12-30,2022-01-03,momentum:+3767.90;value:+4916.64,D10,MBRF3,L,BUY,0.011576190840456873,567,8684.54045928,15.31664984
2021-12-30,2022-01-03,value:+4912.49,D10,PCAR3,L,BUY,0.006552776621640373,555,4912.493653935,8.851339917
2021-12-30,2022-01-03,momentum:+1848.37,D10,PETZ3,L,BUY,0.0024691358024691,120,1840.7043756,15.33920313
2021-12-30,2022-01-03,momentum:+3766.99,D10,PGMN3,L,BUY,0.0050234142188165,501,3766.991824257,7.518945757
2021-12-30,2022-01-03,value:+1754.39,D10,PLPL3,L,BUY,0.0023391812865497085,678,1753.097974584,2.585690228
2021-12-30,2022-01-03,value:+4913.64,D10,POSI3,L,BUY,0.006552776621640373,540,4913.64427392,9.099341248
2021-12-30,2022-01-03,momentum:+5662.08,D10,PRIO3,L,BUY,0.007548666744069,274,5651.76222382,20.62686943
2021-12-30,2022-01-03,value:+4917.17,D10,PSSA3,L,BUY,0.006552776621640373,276,4917.170357880001,17.81583463
2021-12-30,2022-01-03,momentum:+5661.61;value:+4914.18,D10,RANI3,L,BUY,0.014101443365709372,2130,10578.27386028,4.966325756
2021-12-30,2022-01-03,value:+4912.93,D10,RAPT4,L,BUY,0.006552776621640373,530,4917.56914497,9.278432349
2021-12-30,2022-01-03,value:+4912.10,D10,ROMI3,L,BUY,0.006552776621640373,430,4917.8153741999995,11.43677994
2021-12-30,2022-01-03,value:+4913.06,D10,SAPR11,L,BUY,0.006552776621640373,332,4913.06293024,14.79838232
2021-12-30,2022-01-03,value:+4912.23,D10,SEER3,L,BUY,0.006552776621640373,478,4917.37661684,10.28739878
2021-12-30,2022-01-03,momentum:+3800.70,D10,SHOW3,L,BUY,0.0050795309415999,103,3800.7,36.9
2021-12-30,2022-01-03,momentum:+5662.42,D10,SIMH3,L,BUY,0.007548666744069,523,5662.42092918,10.82680866
2021-12-30,2022-01-03,momentum:+1847.16,D10,SMTO3,L,BUY,0.0024691358024691,62,1847.15890286,29.79288553
2021-12-30,2022-01-03,momentum:+5662.61,D10,SOMA3,L,BUY,0.007548666744069,464,5668.7215008,12.2170722
