K," 2,550,000 "," 1,583,113.31 ",,,,,,
,,,,,,,,
,,target,,,,,,
LS,17.67%," 450,585 ",25%," 637,500 ",,,,
IVVB11,30.41%," 775,455 ",25%," 637,500 ",,,,
BONDS,51.92%," 1,323,960 ",50%," 1,275,000 ",,,,
,100.00%,,,,,,,
,,,,,,,,
,,,,,,,," 93,142.50 "
USA," 775,455 ",today,,,,,,
WSP," 387,728 "," 90,369.38 "," 297,358 ",,,,,
IVVB11," 387,728 "," 161,008.00 "," 226,720 ",,,,,
,,,,,,,,
,,today,,,,,,
BONDS," 1,323,960 "," 861,583 "," 462,377 ",,,,,
2026," 264,797 ",," 264,797 ",,,,,
2030," 264,797 "," 860,039 ","-595,242 ",,,,,
2035," 264,797 ",," 264,797 ",,,,,
2045," 264,797 "," 263,988 ", 809 ,,,,,
2050," 264,797 ",," 264,797 ",,,,,
,,,,,,,,
,,today,,,,,,
LS," 450,585 "," 242,258 "," 208,327 ",,,,,
BOVA,12.7%," 57,076.21 ",,,,,,
,,,,,,,,
crypto,," 165,081 ",,,,,,
gold,," 62,814 ",,,,,,
