month_end,trade_date,next_trade_date,D10,LS,turnover_D10,turnover_LS,turnover_LS_reconst,turnover_LS_reweight,ls_gross_long,ls_gross_short,risk_ls_weighted_multiplier,risk_ls_weighted_score,risk_ls_flagged,risk_ls_high,risk_d10_weighted_multiplier,risk_d10_weighted_score,risk_d10_flagged,risk_d10_high,risk_universe_flagged,risk_universe_high,risk_universe_avg_multiplier,dispersion,dispersion_gate_active,CDI,BOVA11,LS_pre_overlay,beta_est,hedge_ratio,vt_scale,LS_vt,LS_pre_vt,LS_carry,LS_borrow_cost,LS_financing_net,LS_net
2010-06-30,2010-07-01,2010-08-02,0.13360552657013974,-0.040081724967514956,0.0,1.249000902703301e-16,0.0,1.249000902703301e-16,0.49999999999999983,0.49999999999999994,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.9913793103448276,2.17249767946733,1,0.008610622664495526,0.1338932806324109,-0.040081724967514956,0.0,0.0,1.0,-0.040081724967514956,-0.040081724967514956,0.004305311332247762,0.0032170150550017147,0.0010882962772460476,-0.03899342869026891
2010-07-30,2010-08-02,2010-09-01,-0.029274252782043153,-0.024341919416947782,0.06666666666666647,0.05873015873015858,0.01666666666666667,0.042063492063491914,0.49999999999999983,0.49999999999999983,0.9892857142857143,0.0428571428571429,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.9942528735632183,2.1623046381818534,1,0.008862278042468974,-0.06027596223674647,-0.024341919416947782,0.0,0.0,1.0,-0.024341919416947782,-0.024341919416947782,0.004431139021234485,0.0032170150550017143,0.001214123966232771,-0.02312779545071501
2010-08-31,2010-09-01,2010-10-01,0.0719859624894338,0.022128516573730415,0.1212121212121211,0.08600288600288603,0.030303030303030307,0.055699855699855715,0.49999999999999994,0.49999999999999994,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1498754023233286,1,0.00844600472113366,0.06646058732612059,0.022128516573730415,0.0,0.0,1.0,0.022128516573730415,0.022128516573730415,0.004223002360566829,0.0032170150550017147,0.0010059873055651143,0.02313450387929553
2010-09-30,2010-10-01,2010-11-01,0.054135744503038104,-0.0026480438719839214,0.18181818181818174,0.26176105742669203,0.1897040581251107,0.07205699930158134,0.49999999999999994,0.49999999999999983,0.978715170278638,0.0851393188854489,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.9941860465116279,2.168342481059549,1,0.00805664196708844,0.020289855072463947,-0.0026480438719839214,0.0,0.0,1.0,-0.0026480438719839214,-0.0026480438719839214,0.0040283209835442185,0.0032170150550017143,0.0008113059285425042,-0.0018367379434414172
2010-10-29,2010-11-01,2010-12-01,0.007904360143895799,0.03657366094278337,0.2000000000000001,0.2522802847880247,0.1998217468805704,0.05245853790745436,0.5,0.49999999999999994,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9973118279569892,2.1463203574079905,1,0.00805628538097003,-0.03451704545454559,0.03657366094278337,0.0,0.0,1.0,0.03657366094278337,0.03657366094278337,0.004028142690485014,0.0032170150550017147,0.0008111276354832993,0.03738478857826667
2010-11-30,2010-12-01,2011-01-03,0.01390518231234244,-0.0034563998814452494,0.2222222222222222,0.4202020202020201,0.32962962962962966,0.09057239057239051,0.5,0.49999999999999994,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.9923469387755102,2.0835692025858323,1,0.009271505547568726,0.01515374429895533,-0.0034563998814452494,0.0,0.0,1.0,-0.0034563998814452494,-0.0034563998814452494,0.004635752773784362,0.0032170150550017147,0.0014187377187826473,-0.002037662162662602
2010-12-30,2011-01-03,2011-02-01,-0.061888315638449896,-0.014076580882647764,0.2564102564102564,0.42332297332297325,0.27794936544936544,0.14537360787360773,0.49999999999999983,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9973684210526316,1.9911251541880317,1,0.008623965390338384,-0.030724637681159517,-0.014076580882647764,-0.08222862340994402,0.0,1.0,-0.014076580882647764,-0.014076580882647764,0.004311982695169192,0.003217015055001715,0.0010949676401674768,-0.012981613242480287
2011-01-31,2011-02-01,2011-03-01,0.0038104724877168887,0.004748732700131358,0.27777777777777796,0.30290641079126696,0.18523965141612198,0.11766675937514498,0.5,0.49999999999999983,0.9948894451397582,0.020442219440967895,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.9921052631578947,1.986848539132296,1,0.008425009434362085,-0.0011961722488037507,0.004748732700131358,-0.03796157965189645,0.0,1.0,0.004748732700131358,0.004748732700131358,0.004212504717181041,0.0032170150550017143,0.0009954896621793266,0.005744222362310684
2011-02-28,2011-03-01,2011-04-01,0.037294528957318364,0.03250472457207195,0.16666666666666666,0.26833412033662324,0.14456654456654458,0.12376757577007863,0.5,0.5000000000000001,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9607973702559998,1,0.009206833909138457,0.017964071856287456,0.03250472457207195,-0.03904266449466965,0.0,1.0,0.03250472457207195,0.03250472457207195,0.004603416954569229,0.003217015055001716,0.0013864018995675131,0.033891126471639464
2011-03-31,2011-04-01,2011-05-02,0.04172223437970269,0.056212144621383735,0.15384615384615377,0.3498085434663132,0.241889646301411,0.1079188971649022,0.49999999999999983,0.5,0.9919824683955721,0.0320701264177121,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.9930555555555556,1.935502308274364,1,0.008396233613529702,-0.03676470588235292,0.056212144621383735,-0.005442854651049741,0.0,1.0,0.056212144621383735,0.056212144621383735,0.004198116806764851,0.003217015055001715,0.000981101751763136,0.05719324637314687
