month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open
2024-12-30,2025-01-02,0,D10,AMBP3,L,0.04,0.04,0.0,keep,Other,3,0,12.424
2024-12-30,2025-01-02,0,D10,AURA33,L,0.04,0.04,0.0,keep,Mining,3,0,24.16498349
2024-12-30,2025-01-02,0,D10,BMGB4,L,0.04,0.04,0.0,keep,Financial Services,3,0,3.560486627
2024-12-30,2025-01-02,0,D10,BRFS3,L,0.04,0.04,0.0,keep,Food & Beverage,13,2,25.16
2024-12-30,2025-01-02,0,D10,BRKM5,L,0.04,0.04,0.0,keep,Chemical,3,0,11.55
2024-12-30,2025-01-02,0,D10,CEAB3,L,0.04,0.04,0.0,keep,Trade,15,0,7.88754893
2024-12-30,2025-01-02,0,D10,CLSA3,L,0.04,0.04,0.0,keep,Trade,6,0,9.94
2024-12-30,2025-01-02,0,D10,CMIG4,L,0.04,0.04,0.0,keep,Electric Power,6,2,10.04769877
2024-12-30,2025-01-02,0,D10,CSNA3,L,0.04,0.04,0.0,keep,Basic & Fabricated Metal,1,0,8.88
2024-12-30,2025-01-02,0,D10,CURY3,L,0.04,0.04,0.0,keep,Construction,6,0,16.67584041
2024-12-30,2025-01-02,0,D10,CXSE3,L,0.04,0.04,0.0,keep,Financial Services,6,0,13.42294359
2024-12-30,2025-01-02,0,D10,DIRR3,L,0.04,0.04,0.0,keep,Construction,6,1,8.047855133
2024-12-30,2025-01-02,0,D10,EMBR3,L,0.04,0.04,0.0,keep,Vehicle & Parts,6,0,56.44184182
2024-12-30,2025-01-02,0,D10,GUAR3,L,0.04,0.04,0.0,keep,Textile,3,0,6.048867844
2024-12-30,2025-01-02,0,D10,INTB3,L,0.04,0.04,0.0,keep,Electric Electron,3,0,12.22127712
2024-12-30,2025-01-02,0,D10,KEPL3,L,0.04,0.04,0.0,keep,Basic & Fabricated Metal,1,0,8.669304304
2024-12-30,2025-01-02,0,D10,MRFG3,L,0.04,0.04,0.0,keep,Food & Beverage,3,0,17.04
2024-12-30,2025-01-02,0,D10,PETR4,L,0.04,0.04,0.0,keep,Oil & Gas,3,0,34.51592943
2024-12-30,2025-01-02,0,D10,POMO4,L,0.04,0.04,0.0,keep,Vehicle & Parts,1,1,7.071404595
2024-12-30,2025-01-02,0,D10,SBFG3,L,0.04,0.04,0.0,keep,Trade,3,0,10.10343001
2024-12-30,2025-01-02,0,D10,SBSP3,L,0.04,0.04,0.0,keep,Other,6,2,85.38527508
2024-12-30,2025-01-02,0,D10,STBP3,L,0.04,0.04,0.0,keep,Transportation Services,3,1,12.83243329
2024-12-30,2025-01-02,0,D10,SYNE3,L,0.04,0.04,0.0,keep,Other,9,0,5.106459989
2024-12-30,2025-01-02,0,D10,VBBR3,L,0.04,0.04,0.0,keep,Oil & Gas,3,0,17.03550448
2024-12-30,2025-01-02,0,D10,VLID3,L,0.04,0.04,0.0,keep,Other,1,1,22.71928677
2024-12-30,2025-01-02,1,D10,AGRO3,L,0.043478260869565216,0.043478260869565216,0.0,keep,Agriculture & Fisheries,5,0,22.34
2024-12-30,2025-01-02,1,D10,AMBP3,L,0.043478260869565216,0.043478260869565216,0.0,keep,Other,2,0,12.424
2024-12-30,2025-01-02,1,D10,AURA33,L,0.043478260869565216,0.043478260869565216,0.0,keep,Mining,2,0,24.16498349
2024-12-30,2025-01-02,1,D10,BMGB4,L,0.043478260869565216,0.043478260869565216,0.0,keep,Financial Services,2,0,3.560486627
2024-12-30,2025-01-02,1,D10,BRFS3,L,0.043478260869565216,0.043478260869565216,0.0,keep,Food & Beverage,14,0,25.16
2024-12-30,2025-01-02,1,D10,BRKM5,L,0.043478260869565216,0.043478260869565216,0.0,keep,Chemical,2,0,11.55
2024-12-30,2025-01-02,1,D10,CASH3,L,0.043478260869565216,0.043478260869565216,0.0,keep,Software & Data,2,0,2.75
2024-12-30,2025-01-02,1,D10,CEAB3,L,0.043478260869565216,0.043478260869565216,0.0,keep,Trade,17,0,7.88754893
2024-12-30,2025-01-02,1,D10,CLSA3,L,0.043478260869565216,0.043478260869565216,0.0,keep,Trade,5,0,9.94
2024-12-30,2025-01-02,1,D10,CMIG4,L,0.043478260869565216,0.043478260869565216,0.0,keep,Electric Power,5,2,10.04769877
2024-12-30,2025-01-02,1,D10,CSMG3,L,0.043478260869565216,0.043478260869565216,0.0,keep,Other,5,2,20.03620863
2024-12-30,2025-01-02,1,D10,CURY3,L,0.043478260869565216,0.043478260869565216,0.0,keep,Construction,5,0,16.67584041
2024-12-30,2025-01-02,1,D10,CXSE3,L,0.043478260869565216,0.043478260869565216,0.0,keep,Financial Services,8,1,13.42294359
2024-12-30,2025-01-02,1,D10,DIRR3,L,0.043478260869565216,0.043478260869565216,0.0,keep,Construction,5,1,8.047855133
2024-12-30,2025-01-02,1,D10,EMBR3,L,0.043478260869565216,0.043478260869565216,0.0,keep,Vehicle & Parts,5,0,56.44184182
2024-12-30,2025-01-02,1,D10,GGBR4,L,0.043478260869565216,0.043478260869565216,0.0,keep,Basic & Fabricated Metal,2,0,17.70607264
2024-12-30,2025-01-02,1,D10,GOAU4,L,0.043478260869565216,0.043478260869565216,0.0,keep,Basic & Fabricated Metal,2,1,10.00799722
2024-12-30,2025-01-02,1,D10,GUAR3,L,0.043478260869565216,0.043478260869565216,0.0,keep,Textile,8,0,6.048867844
2024-12-30,2025-01-02,1,D10,PETR4,L,0.043478260869565216,0.043478260869565216,0.0,keep,Oil & Gas,5,3,34.51592943
2024-12-30,2025-01-02,1,D10,PSSA3,L,0.043478260869565216,0.043478260869565216,0.0,keep,Financial Services,2,2,35.42172178
2024-12-30,2025-01-02,1,D10,SBFG3,L,0.043478260869565216,0.043478260869565216,0.0,keep,Trade,5,0,10.10343001
2024-12-30,2025-01-02,1,D10,STBP3,L,0.043478260869565216,0.043478260869565216,0.0,keep,Transportation Services,5,2,12.83243329
2024-12-30,2025-01-02,1,D10,SYNE3,L,0.043478260869565216,0.043478260869565216,0.0,keep,Other,8,0,5.106459989
2024-12-30,2025-01-02,2,D10,AMBP3,L,0.04,0.041666666666666664,0.0016666666666666635,reweight,Other,4,0,12.424
2024-12-30,2025-01-02,2,D10,AURA33,L,0.04,0.041666666666666664,0.0016666666666666635,reweight,Mining,4,0,24.16498349
2024-12-30,2025-01-02,2,D10,BLAU3,L,0.0,0.041666666666666664,0.041666666666666664,add,Chemical,1,0,12.96635303
2024-12-30,2025-01-02,2,D10,BMGB4,L,0.0,0.041666666666666664,0.041666666666666664,add,Financial Services,1,0,3.560486627
2024-12-30,2025-01-02,2,D10,BRFS3,L,0.04,0.041666666666666664,0.0016666666666666635,reweight,Food & Beverage,13,1,25.16
2024-12-30,2025-01-02,2,D10,BRKM5,L,0.04,0.0,-0.04,exit,Chemical,3,0,11.55
2024-12-30,2025-01-02,2,D10,CEAB3,L,0.04,0.041666666666666664,0.0016666666666666635,reweight,Trade,16,0,7.88754893
2024-12-30,2025-01-02,2,D10,CLSA3,L,0.04,0.041666666666666664,0.0016666666666666635,reweight,Trade,4,0,9.94
2024-12-30,2025-01-02,2,D10,CMIG4,L,0.04,0.041666666666666664,0.0016666666666666635,reweight,Electric Power,4,0,10.04769877
2024-12-30,2025-01-02,2,D10,CPLE6,L,0.04,0.0,-0.04,exit,Electric Power,6,1,8.757906157
2024-12-30,2025-01-02,2,D10,CSMG3,L,0.04,0.0,-0.04,exit,Other,3,1,20.03620863
2024-12-30,2025-01-02,2,D10,CSNA3,L,0.04,0.0,-0.04,exit,Basic & Fabricated Metal,0,2,8.88
2024-12-30,2025-01-02,2,D10,CURY3,L,0.04,0.041666666666666664,0.0016666666666666635,reweight,Construction,4,0,16.67584041
2024-12-30,2025-01-02,2,D10,CXSE3,L,0.04,0.041666666666666664,0.0016666666666666635,reweight,Financial Services,7,1,13.42294359
2024-12-30,2025-01-02,2,D10,DIRR3,L,0.04,0.041666666666666664,0.0016666666666666635,reweight,Construction,4,0,8.047855133
2024-12-30,2025-01-02,2,D10,EMBR3,L,0.04,0.041666666666666664,0.0016666666666666635,reweight,Vehicle & Parts,7,0,56.44184182
2024-12-30,2025-01-02,2,D10,GOAU4,L,0.0,0.041666666666666664,0.041666666666666664,add,Basic & Fabricated Metal,1,0,10.00799722
2024-12-30,2025-01-02,2,D10,GUAR3,L,0.04,0.041666666666666664,0.0016666666666666635,reweight,Textile,4,0,6.048867844
2024-12-30,2025-01-02,2,D10,JBSS3,L,0.04,0.041666666666666664,0.0016666666666666635,reweight,Food & Beverage,4,1,34.07322798
2024-12-30,2025-01-02,2,D10,KEPL3,L,0.0,0.041666666666666664,0.041666666666666664,add,Basic & Fabricated Metal,1,0,8.669304304
2024-12-30,2025-01-02,2,D10,LAVV3,L,0.04,0.0,-0.04,exit,Construction,6,0,6.990399833
2024-12-30,2025-01-02,2,D10,MDNE3,L,0.04,0.041666666666666664,0.0016666666666666635,reweight,Construction,10,0,10.49983765
2024-12-30,2025-01-02,2,D10,PETR4,L,0.04,0.041666666666666664,0.0016666666666666635,reweight,Oil & Gas,13,1,34.51592943
2024-12-30,2025-01-02,2,D10,PLPL3,L,0.04,0.041666666666666664,0.0016666666666666635,reweight,Construction,1,0,8.230462333
2024-12-30,2025-01-02,2,D10,PSSA3,L,0.0,0.041666666666666664,0.041666666666666664,add,Financial Services,1,1,35.42172178
2024-12-30,2025-01-02,2,D10,SBFG3,L,0.04,0.041666666666666664,0.0016666666666666635,reweight,Trade,4,0,10.10343001
2024-12-30,2025-01-02,2,D10,SOJA3,L,0.04,0.0,-0.04,exit,Agriculture & Fisheries,0,1,10.5
2024-12-30,2025-01-02,2,D10,STBP3,L,0.04,0.041666666666666664,0.0016666666666666635,reweight,Transportation Services,4,0,12.83243329
2024-12-30,2025-01-02,2,D10,SYNE3,L,0.04,0.041666666666666664,0.0016666666666666635,reweight,Other,7,0,5.106459989
2024-12-30,2025-01-02,2,D10,VBBR3,L,0.04,0.041666666666666664,0.0016666666666666635,reweight,Oil & Gas,4,0,17.03550448
2024-12-30,2025-01-02,0,LS,AMBP3,L,0.02380952380952381,0.025,0.0011904761904761897,reweight,Other,3,0,12.424
2024-12-30,2025-01-02,0,LS,AURA33,L,0.02380952380952381,0.025,0.0011904761904761897,reweight,Mining,3,0,24.16498349
