month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,vt_prev,vt_curr
2024-06-28,2024-07-01,0,D10,ANIM3,L,0.041666666666666664,0.041666666666666664,0.0,keep,Other,3,0,2.718855096,,
2024-06-28,2024-07-01,0,D10,BMGB4,L,0.041666666666666664,0.041666666666666664,0.0,keep,Financial Services,1,0,3.023106204,,
2024-06-28,2024-07-01,0,D10,BRFS3,L,0.041666666666666664,0.041666666666666664,0.0,keep,Food & Beverage,7,0,22.07525242,,
2024-06-28,2024-07-01,0,D10,CEAB3,L,0.041666666666666664,0.041666666666666664,0.0,keep,Trade,9,0,8.933787722,,
2024-06-28,2024-07-01,0,D10,CPLE6,L,0.041666666666666664,0.041666666666666664,0.0,keep,Electric Power,9,1,8.576478174,,
2024-06-28,2024-07-01,0,D10,CSNA3,L,0.041666666666666664,0.041666666666666664,0.0,keep,Basic & Fabricated Metal,9,0,12.38505579,,
2024-06-28,2024-07-01,0,D10,LIGT3,L,0.041666666666666664,0.041666666666666664,0.0,keep,Electric Power,6,0,5.05,,
2024-06-28,2024-07-01,0,D10,MDNE3,L,0.041666666666666664,0.041666666666666664,0.0,keep,Construction,3,0,10.40463777,,
2024-06-28,2024-07-01,0,D10,NEOE3,L,0.041666666666666664,0.041666666666666664,0.0,keep,Electric Power,6,0,17.74652497,,
2024-06-28,2024-07-01,0,D10,OPCT3,L,0.041666666666666664,0.041666666666666664,0.0,keep,Mining,12,0,6.43,,
2024-06-28,2024-07-01,0,D10,PLPL3,L,0.041666666666666664,0.041666666666666664,0.0,keep,Construction,15,0,9.28750305,,
2024-06-28,2024-07-01,0,D10,POMO4,L,0.041666666666666664,0.041666666666666664,0.0,keep,Vehicle & Parts,12,0,5.902495271,,
2024-06-28,2024-07-01,0,D10,POSI3,L,0.041666666666666664,0.041666666666666664,0.0,keep,Electric Electron,9,0,7.519697928,,
2024-06-28,2024-07-01,0,D10,SEER3,L,0.041666666666666664,0.041666666666666664,0.0,keep,Other,3,0,4.685832208,,
2024-06-28,2024-07-01,0,D10,SOJA3,L,0.041666666666666664,0.041666666666666664,0.0,keep,Agriculture & Fisheries,9,0,14.40737414,,
2024-06-28,2024-07-01,0,D10,SUZB3,L,0.041666666666666664,0.041666666666666664,0.0,keep,Pulp & Paper,3,0,55.36425999,,
2024-06-28,2024-07-01,0,D10,SYNE3,L,0.041666666666666664,0.041666666666666664,0.0,keep,Other,3,0,3.471967159,,
2024-06-28,2024-07-01,0,D10,TEND3,L,0.041666666666666664,0.041666666666666664,0.0,keep,Construction,12,1,10.55437304,,
2024-06-28,2024-07-01,0,D10,TOTS3,L,0.041666666666666664,0.041666666666666664,0.0,keep,Software & Data,6,1,29.55869629,,
2024-06-28,2024-07-01,0,D10,UGPA3,L,0.041666666666666664,0.041666666666666664,0.0,keep,Oil & Gas,12,0,20.74267697,,
2024-06-28,2024-07-01,0,D10,USIM5,L,0.041666666666666664,0.041666666666666664,0.0,keep,Basic & Fabricated Metal,3,0,7.96,,
2024-06-28,2024-07-01,0,D10,VLID3,L,0.041666666666666664,0.041666666666666664,0.0,keep,Other,9,1,13.54040703,,
2024-06-28,2024-07-01,0,D10,VULC3,L,0.041666666666666664,0.041666666666666664,0.0,keep,Textile,1,0,13.34293784,,
2024-06-28,2024-07-01,0,D10,YDUQ3,L,0.041666666666666664,0.041666666666666664,0.0,keep,Other,6,0,9.993504889,,
2024-06-28,2024-07-01,1,D10,ABCB4,L,0.045454545454545456,0.045454545454545456,0.0,keep,Financial Services,2,0,19.57282259,,
2024-06-28,2024-07-01,1,D10,ANIM3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Other,2,0,2.718855096,,
2024-06-28,2024-07-01,1,D10,BRFS3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Food & Beverage,8,0,22.07525242,,
2024-06-28,2024-07-01,1,D10,BRIT3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Other,2,0,4.0,,
2024-06-28,2024-07-01,1,D10,CEAB3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Trade,11,0,8.933787722,,
2024-06-28,2024-07-01,1,D10,CIEL3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Software & Data,2,0,5.63,,
2024-06-28,2024-07-01,1,D10,CPLE6,L,0.045454545454545456,0.045454545454545456,0.0,keep,Electric Power,2,0,8.576478174,,
2024-06-28,2024-07-01,1,D10,CSNA3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Basic & Fabricated Metal,5,0,12.38505579,,
2024-06-28,2024-07-01,1,D10,CXSE3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Financial Services,2,0,12.96174445,,
2024-06-28,2024-07-01,1,D10,ENAT3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Oil & Gas,2,0,22.19,,
2024-06-28,2024-07-01,1,D10,GUAR3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Textile,2,0,6.797587642,,
2024-06-28,2024-07-01,1,D10,MDNE3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Construction,5,0,10.40463777,,
2024-06-28,2024-07-01,1,D10,NEOE3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Electric Power,2,0,17.74652497,,
2024-06-28,2024-07-01,1,D10,OPCT3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Mining,11,0,6.43,,
2024-06-28,2024-07-01,1,D10,PLPL3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Construction,14,0,9.28750305,,
2024-06-28,2024-07-01,1,D10,POMO4,L,0.045454545454545456,0.045454545454545456,0.0,keep,Vehicle & Parts,11,0,5.902495271,,
2024-06-28,2024-07-01,1,D10,POSI3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Electric Electron,2,1,7.519697928,,
2024-06-28,2024-07-01,1,D10,SEER3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Other,5,0,4.685832208,,
2024-06-28,2024-07-01,1,D10,SOJA3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Agriculture & Fisheries,8,0,14.40737414,,
2024-06-28,2024-07-01,1,D10,SYNE3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Other,2,0,3.471967159,,
2024-06-28,2024-07-01,1,D10,USIM5,L,0.045454545454545456,0.045454545454545456,0.0,keep,Basic & Fabricated Metal,5,0,7.96,,
2024-06-28,2024-07-01,1,D10,VLID3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Other,8,0,13.54040703,,
2024-06-28,2024-07-01,2,D10,ABCB4,L,0.0,0.04,0.04,add,Financial Services,1,0,19.57282259,,
2024-06-28,2024-07-01,2,D10,BIOM3,L,0.0,0.04,0.04,add,Other,1,0,14.38754585,,
2024-06-28,2024-07-01,2,D10,BRFS3,L,0.043478260869565216,0.04,-0.0034782608695652154,reweight,Food & Beverage,7,0,22.07525242,,
2024-06-28,2024-07-01,2,D10,BRIT3,L,0.0,0.04,0.04,add,Other,1,0,4.0,,
2024-06-28,2024-07-01,2,D10,CEAB3,L,0.043478260869565216,0.04,-0.0034782608695652154,reweight,Trade,10,0,8.933787722,,
2024-06-28,2024-07-01,2,D10,CIEL3,L,0.0,0.04,0.04,add,Software & Data,1,0,5.63,,
2024-06-28,2024-07-01,2,D10,CPLE6,L,0.0,0.04,0.04,add,Electric Power,1,1,8.576478174,,
2024-06-28,2024-07-01,2,D10,CSNA3,L,0.043478260869565216,0.04,-0.0034782608695652154,reweight,Basic & Fabricated Metal,4,2,12.38505579,,
2024-06-28,2024-07-01,2,D10,CXSE3,L,0.0,0.04,0.04,add,Financial Services,1,1,12.96174445,,
2024-06-28,2024-07-01,2,D10,EMBR3,L,0.0,0.04,0.04,add,Vehicle & Parts,1,0,36.21268612,,
2024-06-28,2024-07-01,2,D10,ENAT3,L,0.0,0.04,0.04,add,Oil & Gas,1,0,22.19,,
2024-06-28,2024-07-01,2,D10,ENJU3,L,0.0,0.04,0.04,add,Trade,1,0,2.01,,
2024-06-28,2024-07-01,2,D10,GFSA3,L,0.043478260869565216,0.0,-0.043478260869565216,exit,Construction,3,1,67.4,,
2024-06-28,2024-07-01,2,D10,IRBR3,L,0.043478260869565216,0.0,-0.043478260869565216,exit,Financial Services,6,0,31.74,,
2024-06-28,2024-07-01,2,D10,LAVV3,L,0.0,0.04,0.04,add,Construction,1,0,7.632328117,,
2024-06-28,2024-07-01,2,D10,LIGT3,L,0.043478260869565216,0.0,-0.043478260869565216,exit,Electric Power,0,0,5.05,,
2024-06-28,2024-07-01,2,D10,MDNE3,L,0.043478260869565216,0.04,-0.0034782608695652154,reweight,Construction,4,0,10.40463777,,
2024-06-28,2024-07-01,2,D10,MLAS3,L,0.043478260869565216,0.0,-0.043478260869565216,exit,Electric Electron,3,0,1.96,,
2024-06-28,2024-07-01,2,D10,OPCT3,L,0.0,0.04,0.04,add,Mining,1,0,6.43,,
2024-06-28,2024-07-01,2,D10,PETR4,L,0.043478260869565216,0.04,-0.0034782608695652154,reweight,Oil & Gas,7,1,32.72937375,,
2024-06-28,2024-07-01,2,D10,PINE4,L,0.043478260869565216,0.0,-0.043478260869565216,exit,Financial Services,0,0,3.573834958,,
2024-06-28,2024-07-01,2,D10,PLPL3,L,0.043478260869565216,0.04,-0.0034782608695652154,reweight,Construction,13,0,9.28750305,,
2024-06-28,2024-07-01,2,D10,POMO4,L,0.043478260869565216,0.04,-0.0034782608695652154,reweight,Vehicle & Parts,10,0,5.902495271,,
2024-06-28,2024-07-01,2,D10,PRNR3,L,0.0,0.04,0.04,add,Construction,1,0,10.71453055,,
2024-06-28,2024-07-01,2,D10,RAIZ4,L,0.043478260869565216,0.0,-0.043478260869565216,exit,Agriculture & Fisheries,3,0,2.939985876,,
2024-06-28,2024-07-01,2,D10,SEER3,L,0.043478260869565216,0.0,-0.043478260869565216,exit,Other,3,0,4.685832208,,
2024-06-28,2024-07-01,2,D10,SOJA3,L,0.043478260869565216,0.04,-0.0034782608695652154,reweight,Agriculture & Fisheries,7,0,14.40737414,,
2024-06-28,2024-07-01,2,D10,SUZB3,L,0.043478260869565216,0.04,-0.0034782608695652154,reweight,Pulp & Paper,4,0,55.36425999,,
2024-06-28,2024-07-01,2,D10,SYNE3,L,0.0,0.04,0.04,add,Other,2,0,3.471967159,,
2024-06-28,2024-07-01,2,D10,TEND3,L,0.043478260869565216,0.0,-0.043478260869565216,exit,Construction,6,1,10.55437304,,
2024-06-28,2024-07-01,2,D10,UGPA3,L,0.043478260869565216,0.0,-0.043478260869565216,exit,Oil & Gas,9,0,20.74267697,,
2024-06-28,2024-07-01,2,D10,UNIP6,L,0.043478260869565216,0.0,-0.043478260869565216,exit,Chemical,6,0,41.83548231,,
2024-06-28,2024-07-01,2,D10,USIM5,L,0.043478260869565216,0.04,-0.0034782608695652154,reweight,Basic & Fabricated Metal,4,0,7.96,,
2024-06-28,2024-07-01,2,D10,VLID3,L,0.043478260869565216,0.04,-0.0034782608695652154,reweight,Other,7,1,13.54040703,,
2024-06-28,2024-07-01,2,D10,VULC3,L,0.043478260869565216,0.04,-0.0034782608695652154,reweight,Textile,1,0,13.34293784,,
2024-06-28,2024-07-01,2,D10,YDUQ3,L,0.043478260869565216,0.0,-0.043478260869565216,exit,Other,6,0,9.993504889,,
2024-06-28,2024-07-01,0,LS,ANIM3,L,0.022843329756985588,0.025113129706691363,0.0022697999497057753,reweight,Other,3,0,2.718855096,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,BIOM3,L,0.0,0.006150832854414509,0.006150832854414509,add,Other,1,0,14.38754585,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,BRFS3,L,0.022843329756985588,0.025113129706691363,0.0022697999497057753,reweight,Food & Beverage,7,0,22.07525242,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,CEAB3,L,0.022843329756985588,0.025113129706691363,0.0022697999497057753,reweight,Trade,9,0,8.933787722,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,CPLE6,L,0.022843329756985588,0.025113129706691363,0.0022697999497057753,reweight,Electric Power,9,1,8.576478174,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,CSNA3,L,0.022843329756985588,0.025113129706691363,0.0022697999497057753,reweight,Basic & Fabricated Metal,9,0,12.38505579,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,ENAT3,L,0.0060306390558442,0.006629866242566524,0.0005992271867223242,reweight,Oil & Gas,2,0,22.19,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,MDNE3,L,0.022843329756985588,0.025113129706691363,0.0022697999497057753,reweight,Construction,3,0,10.40463777,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,NEOE3,L,0.022843329756985588,0.025113129706691363,0.0022697999497057753,reweight,Electric Power,6,0,17.74652497,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,OPCT3,L,0.022843329756985588,0.025113129706691363,0.0022697999497057753,reweight,Mining,12,0,6.43,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,PLPL3,L,0.022843329756985588,0.025113129706691363,0.0022697999497057753,reweight,Construction,15,0,9.28750305,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,POMO4,L,0.022843329756985588,0.025113129706691363,0.0022697999497057753,reweight,Vehicle & Parts,12,0,5.902495271,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,POSI3,L,0.022843329756985588,0.025113129706691363,0.0022697999497057753,reweight,Electric Electron,9,0,7.519697928,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,SEER3,L,0.022843329756985588,0.025113129706691363,0.0022697999497057753,reweight,Other,3,0,4.685832208,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,SOJA3,L,0.022843329756985588,0.025113129706691363,0.0022697999497057753,reweight,Agriculture & Fisheries,9,0,14.40737414,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,SUZB3,L,0.022843329756985588,0.025113129706691363,0.0022697999497057753,reweight,Pulp & Paper,3,0,55.36425999,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,SYNE3,L,0.022843329756985588,0.025113129706691363,0.0022697999497057753,reweight,Other,3,0,3.471967159,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,TEND3,L,0.022843329756985588,0.0,-0.022843329756985588,exit,Construction,11,1,10.55437304,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,TOTS3,L,0.022843329756985588,0.025113129706691363,0.0022697999497057753,reweight,Software & Data,6,1,29.55869629,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,UGPA3,L,0.022843329756985588,0.0,-0.022843329756985588,exit,Oil & Gas,11,0,20.74267697,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,USIM5,L,0.022843329756985588,0.025113129706691363,0.0022697999497057753,reweight,Basic & Fabricated Metal,3,0,7.96,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,VLID3,L,0.022843329756985588,0.025113129706691363,0.0022697999497057753,reweight,Other,9,1,13.54040703,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,YDUQ3,L,0.022843329756985588,0.025113129706691363,0.0022697999497057753,reweight,Other,6,0,9.993504889,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,AESB3,S,-0.02542919468547635,-0.026703617746799628,-0.0012744230613232765,reweight,Electric Power,3,0,11.38,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,AMBP3,S,-0.02542919468547635,-0.026703617746799628,-0.0012744230613232765,reweight,Other,6,0,1.397,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,BBDC4,S,-0.02542919468547635,-0.026703617746799628,-0.0012744230613232765,reweight,Financial Services,3,0,11.30289766,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,BBSE3,S,-0.02542919468547635,-0.026703617746799628,-0.0012744230613232765,reweight,Financial Services,6,0,28.26443218,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,BEEF3,S,-0.02542919468547635,-0.026703617746799628,-0.0012744230613232765,reweight,Food & Beverage,9,0,5.843713172,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,BHIA3,S,-0.02542919468547635,-0.026703617746799628,-0.0012744230613232765,reweight,Trade,6,0,5.45,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,BLAU3,S,-0.02542919468547635,-0.026703617746799628,-0.0012744230613232765,reweight,Chemical,6,1,10.14491775,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,BRAV3,S,-0.02542919468547635,-0.026703617746799628,-0.0012744230613232765,reweight,Oil & Gas,9,0,27.55,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,CASH3,S,-0.02542919468547635,-0.026703617746799628,-0.0012744230613232765,reweight,Software & Data,6,0,3.658664791,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,CBAV3,S,-0.02542919468547635,-0.026703617746799628,-0.0012744230613232765,reweight,Mining,15,0,6.96,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,GOLL54,S,-0.02542919468547635,-0.026703617746799628,-0.0012744230613232765,reweight,Transportation Services,3,1,0.013263235,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,INTB3,S,-0.02542919468547635,-0.026703617746799628,-0.0012744230613232765,reweight,Electric Electron,3,0,22.05343991,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,JHSF3,S,-0.02542919468547635,-0.026703617746799628,-0.0012744230613232765,reweight,Construction,9,0,3.576530412,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,LIGT3,S,0.022843329756985588,-0.0076745560416150655,-0.030517885798600652,reweight,Electric Power,1,0,5.05,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,MATD3,S,-0.02542919468547635,-0.026703617746799628,-0.0012744230613232765,reweight,Other,3,0,4.524482224,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,MRVE3,S,-0.02542919468547635,-0.026703617746799628,-0.0012744230613232765,reweight,Construction,3,0,6.66,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,OIBR3,S,-0.02542919468547635,-0.026703617746799628,-0.0012744230613232765,reweight,Telecommunication,18,0,5.340399123,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,QUAL3,S,-0.02542919468547635,-0.026703617746799628,-0.0012744230613232765,reweight,Other,18,0,1.395771475,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,SEQL3,S,-0.02542919468547635,0.0,0.02542919468547635,exit,Transportation Services,23,0,4.63,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,VAMO3,S,-0.02542919468547635,-0.026703617746799628,-0.0012744230613232765,reweight,Other,6,0,6.960994687,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,0,LS,VITT3,S,-0.02542919468547635,-0.026703617746799628,-0.0012744230613232765,reweight,Agriculture & Fisheries,3,0,5.476645316,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,1,LS,ABCB4,L,0.023117449714069423,0.023145024024318353,2.7574310248929673e-05,reweight,Financial Services,2,0,19.57282259,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,1,LS,ANIM3,L,0.023117449714069423,0.023145024024318353,2.7574310248929673e-05,reweight,Other,2,0,2.718855096,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,1,LS,BIOM3,L,0.0,0.00585276469580464,0.00585276469580464,add,Other,1,0,14.38754585,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,1,LS,BRFS3,L,0.023117449714069423,0.023145024024318353,2.7574310248929673e-05,reweight,Food & Beverage,8,0,22.07525242,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,1,LS,BRIT3,L,0.023117449714069423,0.023145024024318353,2.7574310248929673e-05,reweight,Other,2,0,4.0,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,1,LS,CEAB3,L,0.023117449714069423,0.023145024024318353,2.7574310248929673e-05,reweight,Trade,11,0,8.933787722,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,1,LS,CIEL3,L,0.023117449714069423,0.023145024024318353,2.7574310248929673e-05,reweight,Software & Data,2,0,5.63,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,1,LS,CPLE6,L,0.023117449714069423,0.023145024024318353,2.7574310248929673e-05,reweight,Electric Power,2,0,8.576478174,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,1,LS,CSNA3,L,0.023117449714069423,0.023145024024318353,2.7574310248929673e-05,reweight,Basic & Fabricated Metal,5,0,12.38505579,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,1,LS,CXSE3,L,0.023117449714069423,0.023145024024318353,2.7574310248929673e-05,reweight,Financial Services,2,0,12.96174445,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,1,LS,ENAT3,L,0.023117449714069423,0.023145024024318353,2.7574310248929673e-05,reweight,Oil & Gas,2,0,22.19,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,1,LS,GUAR3,L,0.023117449714069423,0.023145024024318353,2.7574310248929673e-05,reweight,Textile,2,0,6.797587642,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,1,LS,MDNE3,L,0.023117449714069423,0.023145024024318353,2.7574310248929673e-05,reweight,Construction,5,0,10.40463777,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,1,LS,NEOE3,L,0.023117449714069423,0.023145024024318353,2.7574310248929673e-05,reweight,Electric Power,2,0,17.74652497,1.0171677874190546,1.0300865864616162
2024-06-28,2024-07-01,1,LS,OPCT3,L,0.023117449714069423,0.023145024024318353,2.7574310248929673e-05,reweight,Mining,11,0,6.43,1.0171677874190546,1.0300865864616162
