month_end,trade_date,book,ticker,parent_qty,cohort_id,cohort_desired_qty,alloc_ratio
2023-04-28,2023-05-02,D10,BMOB3,39,0,118,1.0
2023-04-28,2023-05-02,D10,BRAP4,26,0,78,1.0
2023-04-28,2023-05-02,D10,CEAB3,179,0,538,1.0
2023-04-28,2023-05-02,D10,CPFE3,382,0,1146,1.0
2023-04-28,2023-05-02,D10,ENAT3,-836,0,-2508,1.0
2023-04-28,2023-05-02,D10,ENBR3,21,0,64,1.0
2023-04-28,2023-05-02,D10,GUAR3,118,0,355,1.0
2023-04-28,2023-05-02,D10,INEP3,-1764,0,-5291,1.0
2023-04-28,2023-05-02,D10,JALL3,65,0,194,1.0
2023-04-28,2023-05-02,D10,JBSS3,33,0,98,1.0
2023-04-28,2023-05-02,D10,JHSF3,148,0,443,1.0
2023-04-28,2023-05-02,D10,LIGT3,-3014,0,-9042,1.0
2023-04-28,2023-05-02,D10,LJQQ3,-2579,0,-7737,1.0
2023-04-28,2023-05-02,D10,MOTV3,38,0,113,1.0
2023-04-28,2023-05-02,D10,NEOE3,710,0,2130,1.0
2023-04-28,2023-05-02,D10,PCAR3,-1531,0,-4593,1.0
2023-04-28,2023-05-02,D10,PETR4,30,0,89,1.0
2023-04-28,2023-05-02,D10,PGMN3,4111,0,12334,1.0
2023-04-28,2023-05-02,D10,POSI3,1519,0,4556,1.0
2023-04-28,2023-05-02,D10,QUAL3,2582,0,7747,1.0
2023-04-28,2023-05-02,D10,RANI3,-1325,0,-3975,1.0
2023-04-28,2023-05-02,D10,SLCE3,27,0,82,1.0
2023-04-28,2023-05-02,D10,SUZB3,262,0,786,1.0
2023-04-28,2023-05-02,D10,TIMS3,41,0,122,1.0
2023-04-28,2023-05-02,D10,USIM5,-1380,0,-4140,1.0
2023-04-28,2023-05-02,D10,VLID3,56,0,167,1.0
2023-04-28,2023-05-02,D10,WIZC3,90,0,271,1.0
2023-04-28,2023-05-02,LS,AALR3,24,0,72,1.0
2023-04-28,2023-05-02,LS,AESB3,52,0,156,1.0
2023-04-28,2023-05-02,LS,ALPA4,76,0,226,0.9912280701754386
2023-04-28,2023-05-02,LS,ALPA4,76,1,1,0.0043859649122807015
2023-04-28,2023-05-02,LS,ALPA4,76,2,1,0.0043859649122807015
2023-04-28,2023-05-02,LS,AMAR3,-1008,0,-3028,1.0
2023-04-28,2023-05-02,LS,AMAR3,-1008,1,2,0.0
2023-04-28,2023-05-02,LS,AMAR3,-1008,2,2,0.0
2023-04-28,2023-05-02,LS,ARML3,623,0,1868,1.0
2023-04-28,2023-05-02,LS,AURA33,-587,0,-1761,1.0
2023-04-28,2023-05-02,LS,BLAU3,30,0,88,1.0
2023-04-28,2023-05-02,LS,BMOB3,-144,0,-430,0.9976798143851509
2023-04-28,2023-05-02,LS,BMOB3,-144,1,-1,0.002320185614849188
2023-04-28,2023-05-02,LS,BRAP4,-94,0,-283,1.0
2023-04-28,2023-05-02,LS,BRAV3,-208,0,-624,1.0
2023-04-28,2023-05-02,LS,CEAB3,-653,0,-1956,0.9979591836734694
2023-04-28,2023-05-02,LS,CEAB3,-653,1,-2,0.0010204081632653062
