month_end,trade_date,sleeve,cohort_id,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional,rationale
2023-09-29,2023-10-02,value,2,D10,ALOS3,L,SELL,-0.005012531328320843,20.17341919,-149,-3005.83945931,reweight
2023-09-29,2023-10-02,value,2,D10,BEEF3,L,OPEN,0.047619047619047596,7.171829802,3984,28572.569931168,add
2023-09-29,2023-10-02,value,2,D10,BMOB3,L,SELL,-0.005012531328320843,10.34223556,-291,-3009.59054796,reweight
2023-09-29,2023-10-02,value,2,D10,BRAP4,L,SELL,-0.005012531328320843,17.83890729,-169,-3014.77533201,reweight
2023-09-29,2023-10-02,value,2,D10,CEAB3,L,SELL,-0.005012531328320843,5.240010106,-574,-3007.765800844,reweight
2023-09-29,2023-10-02,value,2,D10,CPFE3,L,SELL,-0.005012531328320843,28.69643371,-105,-3013.12553955,reweight
2023-09-29,2023-10-02,value,2,D10,GGBR4,L,OPEN,0.047619047619047596,18.58782077,1537,28569.48052349,add
2023-09-29,2023-10-02,value,2,D10,GOLL54,L,SELL,-0.005012531328320843,0.086341062,-34833,-3007.518212646,reweight
2023-09-29,2023-10-02,value,2,D10,GUAR3,L,SELL,-0.005012531328320843,5.144577001,-585,-3009.577545585,reweight
2023-09-29,2023-10-02,value,2,D10,JALL3,L,SELL,-0.005012531328320843,8.516713417,-353,-3006.399836201,reweight
2023-09-29,2023-10-02,value,2,D10,JBSS3,L,CLOSE,-0.05263157894736844,15.5275137,-2034,-31582.9628658,exit
2023-09-29,2023-10-02,value,2,D10,JHSF3,L,CLOSE,-0.05263157894736844,4.140356644,-7627,-31578.500123788,exit
2023-09-29,2023-10-02,value,2,D10,MEAL3,L,OPEN,0.047619047619047596,1.92,14881,28571.52,add
2023-09-29,2023-10-02,value,2,D10,NEOE3,L,SELL,-0.005012531328320843,17.04233888,-176,-2999.45164288,reweight
2023-09-29,2023-10-02,value,2,D10,PETR4,L,SELL,-0.005012531328320843,25.75650209,-117,-3013.51074453,reweight
2023-09-29,2023-10-02,value,2,D10,PGMN3,L,SELL,-0.005012531328320843,2.450276705,-1227,-3006.4895170349996,reweight
2023-09-29,2023-10-02,value,2,D10,PRNR3,L,OPEN,0.047619047619047596,10.41809533,2742,28566.41739486,add
2023-09-29,2023-10-02,value,2,D10,QUAL3,L,SELL,-0.005012531328320843,3.050757653,-986,-3008.047045858,reweight
2023-09-29,2023-10-02,value,2,D10,RAIZ4,L,OPEN,0.047619047619047596,3.423094423,8347,28572.569148781004,add
2023-09-29,2023-10-02,value,2,D10,SUZB3,L,SELL,-0.005012531328320843,51.19400382,-59,-3020.4462253799998,reweight
2023-09-29,2023-10-02,value,2,D10,TGMA3,L,CLOSE,-0.05263157894736844,21.69074701,-1456,-31581.727646559997,exit
2023-09-29,2023-10-02,value,2,D10,UNIP6,L,SELL,-0.005012531328320843,60.51230653,-50,-3025.6153265,reweight
2023-09-29,2023-10-02,value,2,D10,VLID3,L,SELL,-0.005012531328320843,14.30481763,-210,-3004.0117023000003,reweight
2023-09-29,2023-10-02,value,2,D10,WIZC3,L,SELL,-0.005012531328320843,4.890321551,-615,-3007.5477538650002,reweight
2023-09-29,2023-10-02,value,0,LS,AALR3,S,SELL,-0.006631595906423635,9.85,-404,-3979.3999999999996,reweight
2023-09-29,2023-10-02,value,0,LS,AESB3,S,SELL,-0.006631595906423635,10.82247152,-368,-3982.6695193600003,reweight
2023-09-29,2023-10-02,value,0,LS,AGRO3,S,SELL,-0.006631595906423635,24.07290889,-165,-3972.02996685,reweight
2023-09-29,2023-10-02,value,0,LS,ALOS3,L,BUY,0.0006116115993573083,20.17341919,18,363.12154542,reweight
2023-09-29,2023-10-02,value,0,LS,ALPA4,S,CLOSE,0.03317237433272294,7.868575427,2529,19899.627254883,exit
2023-09-29,2023-10-02,value,0,LS,AURA33,S,CLOSE,0.03317237433272294,9.535768296,2087,19901.148433752,exit
2023-09-29,2023-10-02,value,0,LS,BMOB3,L,BUY,0.0006116115993573083,10.34223556,35,361.97824460000004,reweight
2023-09-29,2023-10-02,value,0,LS,BRAP4,L,BUY,0.0006116115993573083,17.83890729,21,374.61705309,reweight
2023-09-29,2023-10-02,value,0,LS,BRAV3,S,SELL,-0.006631595906423635,31.33206098,-127,-3979.1717444600004,reweight
2023-09-29,2023-10-02,value,0,LS,CEAB3,L,BUY,0.0006116115993573083,5.240010106,70,366.80070742,reweight
2023-09-29,2023-10-02,value,0,LS,CPFE3,L,BUY,0.0006116115993573083,28.69643371,13,373.05363823,reweight
2023-09-29,2023-10-02,value,0,LS,CSNA3,S,SELL,-0.006631595906423635,10.45218529,-381,-3982.2825954899995,reweight
2023-09-29,2023-10-02,value,0,LS,EMBR3,S,CLOSE,0.03317237433272294,17.1623158,1160,19908.286328,exit
2023-09-29,2023-10-02,value,0,LS,ENEV3,S,SELL,-0.006631595906423635,12.05,-330,-3976.5000000000005,reweight
2023-09-29,2023-10-02,value,0,LS,GOLL54,L,BUY,0.0006116115993573083,0.086341062,4250,366.94951349999997,reweight
2023-09-29,2023-10-02,value,0,LS,GUAR3,L,BUY,0.0006116115993573083,5.144577001,71,365.264967071,reweight
2023-09-29,2023-10-02,value,0,LS,HAPV3,S,SELL,-0.006631595906423635,70.35,-57,-4009.95,reweight
2023-09-29,2023-10-02,value,0,LS,INTB3,S,SELL,-0.006631595906423635,19.33918051,-206,-3983.87118506,reweight
2023-09-29,2023-10-02,value,0,LS,JALL3,L,BUY,0.0006116115993573083,8.516713417,43,366.218676931,reweight
2023-09-29,2023-10-02,value,0,LS,JBSS3,L,BUY,0.0006116115993573083,15.5275137,24,372.6603288,reweight
2023-09-29,2023-10-02,value,0,LS,JHSF3,L,CLOSE,-0.028433463713762517,4.140356644,-4120,-17058.26937328,exit
2023-09-29,2023-10-02,value,0,LS,MDIA3,S,SELL,-0.006631595906423635,35.07001334,-113,-3962.9115074200004,reweight
2023-09-29,2023-10-02,value,0,LS,MEAL3,L,BUY,0.0006116115993573083,1.92,191,366.71999999999997,reweight
2023-09-29,2023-10-02,value,0,LS,MRVE3,S,SELL,-0.006631595906423635,10.62,-375,-3982.4999999999995,reweight
2023-09-29,2023-10-02,value,0,LS,NEOE3,L,BUY,0.0006116115993573083,17.04233888,22,374.93145536,reweight
2023-09-29,2023-10-02,value,0,LS,ORVR3,S,SELL,-0.006631595906423635,36.53,-109,-3981.77,reweight
2023-09-29,2023-10-02,value,0,LS,PETR4,L,BUY,0.0006116115993573083,25.75650209,14,360.59102926,reweight
2023-09-29,2023-10-02,value,0,LS,PGMN3,L,BUY,0.0006116115993573083,2.450276705,150,367.54150575,reweight
2023-09-29,2023-10-02,value,0,LS,POSI3,L,BUY,0.0006116115993573083,6.566780541,56,367.739710296,reweight
2023-09-29,2023-10-02,value,0,LS,PRNR3,L,BUY,0.0006116115993573083,10.41809533,35,364.63333654999997,reweight
2023-09-29,2023-10-02,value,0,LS,QUAL3,L,BUY,0.0006116115993573083,3.050757653,120,366.09091836,reweight
2023-09-29,2023-10-02,value,0,LS,RAIL3,S,SELL,-0.006631595906423635,21.76082172,-183,-3982.23037476,reweight
2023-09-29,2023-10-02,value,0,LS,SEQL3,S,OPEN,-0.023645922914344492,10.2,-1391,-14188.199999999999,add
2023-09-29,2023-10-02,value,0,LS,SRNA3,S,SELL,-0.006631595906423635,9.83,-405,-3981.15,reweight
2023-09-29,2023-10-02,value,0,LS,SUZB3,L,BUY,0.0006116115993573083,51.19400382,7,358.35802674,reweight
2023-09-29,2023-10-02,value,0,LS,TOKY3,S,CLOSE,0.03317237433272294,3.87,5143,19903.41,exit
2023-09-29,2023-10-02,value,0,LS,UNIP6,L,BUY,0.0006116115993573083,60.51230653,6,363.07383918,reweight
2023-09-29,2023-10-02,value,0,LS,VLID3,L,BUY,0.0006116115993573083,14.30481763,26,371.92525838,reweight
2023-09-29,2023-10-02,value,0,LS,WEGE3,S,SELL,-0.006631595906423635,35.03342012,-114,-3993.80989368,reweight
2023-09-29,2023-10-02,value,0,LS,WIZC3,L,BUY,0.0006116115993573083,4.890321551,75,366.774116325,reweight
2023-09-29,2023-10-02,value,1,LS,AALR3,S,SELL,-0.007599292867775737,9.85,-463,-4560.55,reweight
2023-09-29,2023-10-02,value,1,LS,AESB3,S,SELL,-0.007599292867775737,10.82247152,-421,-4556.26050992,reweight
2023-09-29,2023-10-02,value,1,LS,AGRO3,S,SELL,-0.007599292867775737,24.07290889,-189,-4549.77978021,reweight
2023-09-29,2023-10-02,value,1,LS,ALOS3,L,BUY,0.0004436253128000736,20.17341919,13,262.25444947,reweight
2023-09-29,2023-10-02,value,1,LS,ALPA4,S,CLOSE,0.029855136899450654,7.868575427,2277,17916.746247279,exit
2023-09-29,2023-10-02,value,1,LS,AURA33,S,CLOSE,0.029855136899450654,9.535768296,1879,17917.708628184002,exit
2023-09-29,2023-10-02,value,1,LS,BMOB3,L,BUY,0.0004436253128000736,10.34223556,26,268.89812456000004,reweight
2023-09-29,2023-10-02,value,1,LS,BRAP4,L,BUY,0.0004436253128000736,17.83890729,15,267.58360935,reweight
2023-09-29,2023-10-02,value,1,LS,BRAV3,S,SELL,-0.007599292867775737,31.33206098,-146,-4574.480903080001,reweight
2023-09-29,2023-10-02,value,1,LS,CEAB3,L,BUY,0.0004436253128000736,5.240010106,51,267.240515406,reweight
2023-09-29,2023-10-02,value,1,LS,CPFE3,L,BUY,0.0004436253128000736,28.69643371,9,258.26790339,reweight
2023-09-29,2023-10-02,value,1,LS,CSNA3,S,SELL,-0.007599292867775737,10.45218529,-436,-4557.1527864399995,reweight
2023-09-29,2023-10-02,value,1,LS,EMBR3,S,CLOSE,0.029855136899450654,17.1623158,1044,17917.4576952,exit
2023-09-29,2023-10-02,value,1,LS,ENEV3,S,SELL,-0.007599292867775737,12.05,-378,-4554.900000000001,reweight
2023-09-29,2023-10-02,value,1,LS,EZTC3,S,SELL,-0.007599292867775737,16.82643775,-271,-4559.9646302500005,reweight
2023-09-29,2023-10-02,value,1,LS,GOLL54,L,BUY,0.0004436253128000736,0.086341062,3083,266.189494146,reweight
2023-09-29,2023-10-02,value,1,LS,GUAR3,L,BUY,0.0004436253128000736,5.144577001,52,267.518004052,reweight
2023-09-29,2023-10-02,value,1,LS,HAPV3,S,SELL,-0.007599292867775737,70.35,-65,-4572.75,reweight
2023-09-29,2023-10-02,value,1,LS,HBSA3,S,SELL,-0.007599292867775737,4.320159871,-1055,-4557.768663905001,reweight
2023-09-29,2023-10-02,value,1,LS,INTB3,S,SELL,-0.007599292867775737,19.33918051,-236,-4564.0466003599995,reweight
2023-09-29,2023-10-02,value,1,LS,JALL3,L,BUY,0.0004436253128000736,8.516713417,31,264.018115927,reweight
