month_end,trade_date,sleeve,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional
2012-11-30,2012-12-03,value,D10,ALOS3,L,SELL,-0.0046620046620046525,22.40217455,-125,-2800.2718187500004
2012-11-30,2012-12-03,value,D10,AMER3,L,SELL,-0.0303030303030303,1290.481017,-14,-18066.734238
2012-11-30,2012-12-03,value,D10,ARTR3,L,BUY,0.025641025641025647,17.7044363,869,15385.1551447
2012-11-30,2012-12-03,value,D10,BEEF3,L,SELL,-0.0046620046620046525,7.447701845,-376,-2800.33589372
2012-11-30,2012-12-03,value,D10,BRAP4,L,SELL,-0.0046620046620046525,4.093535819,-683,-2795.8849643770004
2012-11-30,2012-12-03,value,D10,BRML3,L,SELL,-0.0046620046620046525,15.74444994,-178,-2802.51208932
2012-11-30,2012-12-03,value,D10,BRPR3,L,SELL,-0.0046620046620046525,117.4965227,-24,-2819.9165448
2012-11-30,2012-12-03,value,D10,CPLE6,L,BUY,0.025641025641025647,1.163565754,13222,15384.666399388
2012-11-30,2012-12-03,value,D10,DXCO3,L,SELL,-0.0303030303030303,6.506110791,-2795,-18184.579660845
2012-11-30,2012-12-03,value,D10,EMBR3,L,SELL,-0.0303030303030303,12.39002786,-1467,-18176.17087062
2012-11-30,2012-12-03,value,D10,EQTL3,L,SELL,-0.0303030303030303,2.716309108,-6694,-18182.973168951998
2012-11-30,2012-12-03,value,D10,GOAU4,L,SELL,-0.0046620046620046525,11.98751155,-233,-2793.09019115
2012-11-30,2012-12-03,value,D10,GRND3,L,BUY,0.025641025641025647,2.228765203,6903,15385.166196309001
2012-11-30,2012-12-03,value,D10,MBRF3,L,SELL,-0.0046620046620046525,7.123138044,-393,-2799.393251292
2012-11-30,2012-12-03,value,D10,PETR4,L,BUY,0.025641025641025647,4.523165922,3401,15383.287300721999
2012-11-30,2012-12-03,value,D10,SIMH3,L,BUY,0.025641025641025647,2.319208815,6634,15385.631278710001
2012-11-30,2012-12-03,value,D10,SMTO3,L,BUY,0.025641025641025647,5.731643806,2684,15383.731975304001
2012-11-30,2012-12-03,value,LS,AEDU3,S,SELL,-0.003023416637311295,10.72499934,-169,-1812.52488846
