month_end,trade_date,sleeve,book,ticker,side,action,w_delta,shares,est_notional,px_ref_open
2017-02-24,2017-03-01,value,D10,AESB3,L,SELL,-0.03703703703703703,-1911,-22222.20525798,11.62857418
2017-02-24,2017-03-01,value,D10,ALPA4,L,BUY,0.0303030303030303,2085,18180.421604865,8.719626669
2017-02-24,2017-03-01,value,D10,ALSC3,L,SELL,-0.03703703703703703,-1551,-22218.97732527,14.32558177
2017-02-24,2017-03-01,value,D10,CGAS5,L,SELL,-0.006734006734006727,-201,-4035.9285485100004,20.07924651
2017-02-24,2017-03-01,value,D10,CPLE6,L,SELL,-0.03703703703703703,-13048,-22221.573030776,1.703063537
2017-02-24,2017-03-01,value,D10,CSMG3,L,SELL,-0.006734006734006727,-503,-4042.7803938009997,8.037336767
2017-02-24,2017-03-01,value,D10,CSNA3,L,BUY,0.0303030303030303,2616,18179.71838916,6.949433635
2017-02-24,2017-03-01,value,D10,CZLT33,L,BUY,0.0303030303030303,690,18179.0469948,26.34644492
2017-02-24,2017-03-01,value,D10,ELET3,L,BUY,0.0303030303030303,1096,18179.6245204,16.58724865
2017-02-24,2017-03-01,value,D10,ENAT3,L,BUY,0.0303030303030303,5256,18181.474872552,3.459184717
2017-02-24,2017-03-01,value,D10,ENBR3,L,SELL,-0.03703703703703703,-2274,-22223.197463922,9.772734153
2017-02-24,2017-03-01,value,D10,GOLL54,L,BUY,0.0303030303030303,157996,18181.875221708,0.115078073
2017-02-24,2017-03-01,value,D10,ISAE4,L,BUY,0.0303030303030303,2273,18177.829541452,7.997285324
2017-02-24,2017-03-01,value,D10,MGLU3,L,SELL,-0.006734006734006727,-518,-4043.525235414,7.806033273
2017-02-24,2017-03-01,value,D10,MYPK3,L,BUY,0.0303030303030303,1771,18178.59246742,10.26459202
2017-02-24,2017-03-01,value,D10,PSSA3,L,SELL,-0.03703703703703703,-2438,-22219.290957156,9.113737062
2017-02-24,2017-03-01,value,D10,TUPY3,L,SELL,-0.03703703703703703,-2278,-22223.011008356,9.755492102
2017-02-24,2017-03-01,value,LS,ALPA4,L,BUY,0.021943661221470692,1510,13166.63627019,8.719626669
2017-02-24,2017-03-01,value,LS,ALSC3,L,SELL,-0.035550245186420845,-1489,-21330.79125553,14.32558177
2017-02-24,2017-03-01,value,LS,AZZA3,S,SELL,-0.014350813681085853,-335,-8613.8685943,25.71304058
2017-02-24,2017-03-01,value,LS,B3SA3,S,SELL,-0.020789197982947358,-2637,-12472.571095083,4.729833559
2017-02-24,2017-03-01,value,LS,BRML3,S,SELL,-0.020789197982947358,-1047,-12475.2204726,11.9152058
2017-02-24,2017-03-01,value,LS,BRPR3,S,SELL,-0.020789197982947358,-149,-12470.88742198,83.69723102
2017-02-24,2017-03-01,value,LS,CGAS5,L,SELL,-0.014761047203473487,-441,-8854.94771091,20.07924651
2017-02-24,2017-03-01,value,LS,CPLE6,,SELL,-0.03845135554116371,-13547,-23071.401735739,1.703063537
2017-02-24,2017-03-01,value,LS,CSMG3,L,SELL,-0.014761047203473487,-1102,-8857.145117233998,8.037336767
